,Team,Link,Age,AbroadPlayers,Value,Difference,Year,Country,stadium_capacity,stadium_name,squad_size,top_arrival,top_departure,income_value,expenditure_values,overall_balance
27,RNK Split,/rnk-split/startseite/verein/420/saison_id/2013,"24,6",6,€15.30m,€437k,2013,Croatia,4.000 Seats,Park mladezi,37,Free transfer,€4.50m,€4.50m,0,+€4.50m
28,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2013,"23,5",2,€11.50m,€371k,2013,Croatia,5.000 Seats,Gradski Stadion Ivan Kusek Apas,32,Free transfer,€1.50m,€2.10m,0,+€2.10m
29,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2013,"21,4",4,€10.05m,€251k,2013,Croatia,8.850 Seats,Kranjceviceva,42,Free transfer,€1.00m,€1.00m,0,+€1.00m
30,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2013,"22,5",11,€8.60m,€191k,2013,Croatia,9.056 Seats,Aldo Drosina,47,Free transfer,€350k,€1.02m,0,+€1.02m
31,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2013,"22,2",2,€7.65m,€213k,2013,Croatia,18.856 Seats,Gradski vrt,36,Free transfer,€190k,€190k,0,+€190k
32,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2014,"23,2",19,€59.18m,€1.44m,2014,Croatia,35.123 Seats,Maksimir,41,€2.50m,€5.00m,€9.93m,€9.05m,+€880k
33,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2014,"23,8",17,€33.23m,€738k,2014,Croatia,8.136 Seats,Stadion Rujevica,45,€550k,€9.00m,€9.50m,€1.85m,+€7.65m
34,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2014,"21,2",13,€19.80m,€460k,2014,Croatia,34.183 Seats,Poljud,43,Free transfer,€2.50m,€6.09m,0,+€6.09m
35,RNK Split,/rnk-split/startseite/verein/420/saison_id/2014,"23,2",8,€13.93m,€348k,2014,Croatia,4.000 Seats,Park mladezi,40,€230k,€150k,€250k,€440k,€-190k
36,NK Lokomotiva,/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2014,"21,1",4,€12.58m,€314k,2014,Croatia,8.850 Seats,Kranjceviceva,40,Free transfer,€1.00m,€2.28m,0,+€2.28m
37,NK Istra,/nk-istra-1961/startseite/verein/999/saison_id/2014,"22,5",16,€11.23m,€229k,2014,Croatia,9.056 Seats,Aldo Drosina,49,Free transfer,€230k,€340k,0,+€340k
38,Slaven Belupo,/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2014,"23,3",3,€9.83m,€273k,2014,Croatia,5.000 Seats,Gradski Stadion Ivan Kusek Apas,36,Free transfer,€350k,€850k,0,+€850k
39,NK Osijek,/nk-osijek/startseite/verein/327/saison_id/2014,"22,9",9,€9.65m,€224k,2014,Croatia,18.856 Seats,Gradski vrt,43,Free transfer,€250k,€250k,0,+€250k
40,Dinamo Zagreb,/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2015,"21,8",19,€54.70m,€1.12m,2015,Croatia,35.123 Seats,Maksimir,49,€5.00m,€7.50m,€13.90m,€9.30m,+€4.61m
41,HNK Rijeka,/hnk-rijeka/startseite/verein/144/saison_id/2015,"23,7",19,€35.95m,€856k,2015,Croatia,8.136 Seats,Stadion Rujevica,42,€600k,€2.60m,€6.95m,€1.22m,+€5.74m
42,Hajduk Split,/hnk-hajduk-split/startseite/verein/447/saison_id/2015,"21,0",12,€21.70m,€556k,2015,Croatia,34.183 Seats,Poljud,39,Free transfer,€3.00m,€6.00m,0,+€6.00m
43,RNK Split,/rnk-split/startseite/verein/420/saison_id/2015,"22,1",13,€14.00m,€292k,2015,Croatia,4.000 Seats,Park mladezi,48,Free transfer,€5.00m,€6.80m,0,+€6.80m
