,Team,Link,Age,AbroadPlayers,Value,Difference,Year,Country,stadium_capacity,stadium_name,squad_size,top_arrival,top_departure,income_value,expenditure_values,overall_balance
254,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2011,"23,4",6,€21.98m,€523k,2011,Belarus,13.126 Seats,Borisov-Arena,44,€500k,€2.80m,€4.30m,€1.07m,+€3.24m
255,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2011,"24,7",12,€12.33m,€257k,2011,Belarus,3.000 Seats,Stadion FK Minsk,51,Free transfer,Free transfer,0,0,0
256,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2011,"22,5",12,€11.95m,€266k,2011,Belarus,22.246 Seats,Dinamo,45,€380k,€300k,€300k,€715k,€-415k
257,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2011,"26,3",8,€9.70m,€323k,2011,Belarus,4.200 Seats,Stroitel,32,€40k,€450k,€450k,€80k,+€370k
258,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2011,"25,7",13,€8.33m,€238k,2011,Belarus,3.709 Seats,Spartak,42,Free transfer,€120k,€120k,0,+€120k
259,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2011,"25,4",7,€7.83m,€237k,2011,Belarus,8.479 Seats,"Tsentralny Sportivny Komplex ""Neman""",35,Free transfer,Free transfer,0,0,0
260,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2011,"24,7",5,€6.40m,€221k,2011,Belarus,4.522 Seats,Atlant,32,Free transfer,€75k,€75k,0,+€75k
261,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2011,"23,9",1,€5.88m,€190k,2011,Belarus,6.524 Seats,Torpedo,40,€10k,Free transfer,0,€10k,€-10k
262,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2012,"24,6",3,€23.65m,€657k,2012,Belarus,13.126 Seats,Borisov-Arena,41,€300k,€3.50m,€4.67m,€375k,+€4.30m
263,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2012,"23,5",15,€18.63m,€405k,2012,Belarus,22.246 Seats,Dinamo,49,€190k,€1.20m,€1.20m,€435k,+€765k
264,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2012,"26,0",21,€10.35m,€220k,2012,Belarus,3.709 Seats,Spartak,53,€36k,Free transfer,0,€36k,€-36k
265,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2012,"25,9",10,€9.50m,€216k,2012,Belarus,6.524 Seats,Torpedo,48,Free transfer,€65k,€65k,0,+€65k
266,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2012,"25,9",15,€8.20m,€191k,2012,Belarus,4.522 Seats,Atlant,49,Free transfer,Free transfer,0,0,0
267,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2012,"27,6",7,€8.10m,€312k,2012,Belarus,4.200 Seats,Stroitel,33,Free transfer,Free transfer,0,0,0
268,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2012,"24,0",6,€7.90m,€226k,2012,Belarus,3.000 Seats,Stadion FK Minsk,41,Free transfer,Free transfer,0,0,0
269,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2012,"24,9",11,€6.93m,€223k,2012,Belarus,8.479 Seats,"Tsentralny Sportivny Komplex ""Neman""",36,Free transfer,Free transfer,0,0,0
270,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2013,"25,2",4,€23.70m,€741k,2013,Belarus,13.126 Seats,Borisov-Arena,38,€80k,€435k,€1.02m,€191k,+€829k
271,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2013,"24,6",12,€13.25m,€390k,2013,Belarus,22.246 Seats,Dinamo,38,€350k,€7k,€7k,€350k,€-343k
272,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2013,"27,2",9,€9.05m,€292k,2013,Belarus,4.200 Seats,Stroitel,37,Free transfer,Free transfer,0,0,0
273,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2013,"25,6",7,€7.80m,€269k,2013,Belarus,8.479 Seats,"Tsentralny Sportivny Komplex ""Neman""",37,Free transfer,Free transfer,0,0,0
274,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2013,"25,2",11,€7.25m,€227k,2013,Belarus,3.709 Seats,Spartak,45,Free transfer,€36k,€36k,0,+€36k
275,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2013,"23,7",7,€6.85m,€201k,2013,Belarus,3.000 Seats,Stadion FK Minsk,43,Free transfer,Free transfer,0,0,0
276,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2013,"27,2",9,€5.95m,€198k,2013,Belarus,6.524 Seats,Torpedo,34,Free transfer,Free transfer,0,0,0
277,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2013,"26,0",6,€2.93m,€146k,2013,Belarus,4.522 Seats,Atlant,35,Free transfer,€20k,€20k,0,+€20k
278,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2014,"24,7",7,€22.63m,€665k,2014,Belarus,13.126 Seats,Borisov-Arena,39,€35k,€1.00m,€1.00m,€35k,+€965k
279,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2014,"24,5",14,€16.50m,€485k,2014,Belarus,22.246 Seats,Dinamo,41,€200k,Free transfer,0,€200k,€-200k
280,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2014,"27,3",12,€10.60m,€312k,2014,Belarus,4.200 Seats,Stroitel,36,Free transfer,€250k,€250k,0,+€250k
281,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2014,"24,9",7,€6.88m,€181k,2014,Belarus,8.479 Seats,"Tsentralny Sportivny Komplex ""Neman""",41,Free transfer,€60k,€66k,0,+€66k
282,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2014,"27,6",5,€5.55m,€231k,2014,Belarus,6.524 Seats,Torpedo,30,Free transfer,Free transfer,0,0,0
283,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2014,"22,0",3,€4.80m,€155k,2014,Belarus,3.000 Seats,Stadion FK Minsk,35,Free transfer,Free transfer,0,0,0
284,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2014,"24,7",10,€4.75m,€140k,2014,Belarus,3.709 Seats,Spartak,36,Free transfer,Free transfer,0,0,0
285,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2014,"25,9",8,€4.03m,€144k,2014,Belarus,4.522 Seats,Atlant,33,Free transfer,Free transfer,0,0,0
286,BATE Borisov,/bate-borisov/startseite/verein/713/saison_id/2015,"23,2",7,€20.03m,€435k,2015,Belarus,13.126 Seats,Borisov-Arena,50,€1.00m,€1.50m,€1.95m,€1.25m,+€700k
287,Dinamo Minsk,/dinamo-minsk/startseite/verein/1180/saison_id/2015,"25,0",12,€14.45m,€352k,2015,Belarus,22.246 Seats,Dinamo,49,€59k,€700k,€1.25m,€109k,+€1.14m
288,Soligorsk,/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2015,"27,1",7,€9.10m,€276k,2015,Belarus,4.200 Seats,Stroitel,37,€19k,Free transfer,0,€19k,€-19k
289,Torpedo Zhodino,/torpedo-zhodino/startseite/verein/7964/saison_id/2015,"26,6",10,€8.88m,€222k,2015,Belarus,6.524 Seats,Torpedo,48,Free transfer,Free transfer,0,0,0
290,Belshina,/belshina-bobruisk/startseite/verein/3886/saison_id/2015,"25,7",13,€7.45m,€186k,2015,Belarus,3.709 Seats,Spartak,52,€215k,Free transfer,0,€215k,€-215k
291,FK Minsk,/fk-minsk/startseite/verein/23664/saison_id/2015,"21,7",7,€5.40m,€154k,2015,Belarus,3.000 Seats,Stadion FK Minsk,40,Free transfer,€50k,€50k,0,+€50k
292,Naftan,/naftan-novopolotsk/startseite/verein/8563/saison_id/2015,"25,1",6,€4.25m,€129k,2015,Belarus,4.522 Seats,Atlant,38,Free transfer,€19k,€19k,0,+€19k
293,Neman Grodno,/neman-grodno/startseite/verein/14178/saison_id/2015,"25,4",3,€3.98m,€133k,2015,Belarus,8.479 Seats,"Tsentralny Sportivny Komplex ""Neman""",39,Free transfer,Free transfer,0,0,0
