|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
131|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2011|25,4|8|€15.45m|€483k|2011|Austria
132|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2012|24,0|21|€38.40m|€1.16m|2012|Austria
133|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2012|23,6|8|€19.23m|€663k|2012|Austria
134|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2012|22,4|7|€16.00m|€471k|2012|Austria
135|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2012|23,9|6|€13.75m|€430k|2012|Austria
136|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2013|22,8|22|€41.55m|€1.19m|2013|Austria
137|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2013|23,5|8|€22.95m|€656k|2013|Austria
138|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2013|22,6|8|€15.60m|€557k|2013|Austria
139|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2013|24,2|8|€13.38m|€446k|2013|Austria
140|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2014|22,1|24|€67.55m|€1.99m|2014|Austria
141|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2014|23,2|9|€25.10m|€697k|2014|Austria
142|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2014|22,3|7|€16.00m|€593k|2014|Austria
143|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2014|23,1|12|€14.25m|€407k|2014|Austria
144|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2015|21,6|27|€50.15m|€1.36m|2015|Austria
145|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2015|22,8|10|€21.50m|€632k|2015|Austria
146|Austria Vienna|/fk-austria-wien/startseite/verein/14/saison_id/2015|23,4|11|€16.85m|€544k|2015|Austria
147|Sturm Graz|/sk-sturm-graz/startseite/verein/122/saison_id/2015|23,1|11|€16.75m|€508k|2015|Austria
148|RB Salzburg|/red-bull-salzburg/startseite/verein/409/saison_id/2016|22,1|32|€57.65m|€1.31m|2016|Austria
149|Rapid Vienna|/sk-rapid-wien/startseite/verein/170/saison_id/2016|23,0|11|€24.53m|€663k|2016|Austria
