|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country
660|Celtic|/celtic-glasgow/startseite/verein/371/saison_id/2013|22,5|27|€65.88m|€1.61m|2013|Scotland
661|Aberdeen FC|/aberdeen-fc/startseite/verein/370/saison_id/2013|24,3|13|€10.53m|€351k|2013|Scotland
662|St. Johnstone|/st-johnstone-fc/startseite/verein/2578/saison_id/2013|25,9|12|€10.20m|€309k|2013|Scotland
663|Kilmarnock FC|/kilmarnock-fc/startseite/verein/2553/saison_id/2013|24,1|20|€9.03m|€244k|2013|Scotland
664|Motherwell FC|/motherwell-fc/startseite/verein/987/saison_id/2013|23,3|9|€8.20m|€293k|2013|Scotland
665|Celtic|/celtic-glasgow/startseite/verein/371/saison_id/2014|22,9|25|€65.58m|€1.53m|2014|Scotland
666|Aberdeen FC|/aberdeen-fc/startseite/verein/370/saison_id/2014|22,7|12|€11.08m|€308k|2014|Scotland
667|St. Johnstone|/st-johnstone-fc/startseite/verein/2578/saison_id/2014|25,2|6|€9.40m|€285k|2014|Scotland
668|Motherwell FC|/motherwell-fc/startseite/verein/987/saison_id/2014|22,9|17|€8.65m|€222k|2014|Scotland
669|Kilmarnock FC|/kilmarnock-fc/startseite/verein/2553/saison_id/2014|22,0|11|€5.75m|€192k|2014|Scotland
670|Celtic|/celtic-glasgow/startseite/verein/371/saison_id/2015|23,0|24|€55.90m|€1.33m|2015|Scotland
671|Aberdeen FC|/aberdeen-fc/startseite/verein/370/saison_id/2015|23,8|15|€10.73m|€315k|2015|Scotland
672|St. Johnstone|/st-johnstone-fc/startseite/verein/2578/saison_id/2015|25,3|9|€9.73m|€286k|2015|Scotland
673|Kilmarnock FC|/kilmarnock-fc/startseite/verein/2553/saison_id/2015|22,4|13|€7.73m|€184k|2015|Scotland
674|Motherwell FC|/motherwell-fc/startseite/verein/987/saison_id/2015|23,7|15|€6.93m|€210k|2015|Scotland
675|Celtic|/celtic-glasgow/startseite/verein/371/saison_id/2016|23,0|24|€59.28m|€1.26m|2016|Scotland
676|Aberdeen FC|/aberdeen-fc/startseite/verein/370/saison_id/2016|23,1|16|€11.48m|€338k|2016|Scotland
677|St. Johnstone|/st-johnstone-fc/startseite/verein/2578/saison_id/2016|24,6|9|€7.20m|€218k|2016|Scotland
678|Kilmarnock FC|/kilmarnock-fc/startseite/verein/2553/saison_id/2016|21,4|25|€5.68m|€126k|2016|Scotland
679|Motherwell FC|/motherwell-fc/startseite/verein/987/saison_id/2016|23,5|18|€5.33m|€137k|2016|Scotland
680|Celtic|/celtic-glasgow/startseite/verein/371/saison_id/2017|23,1|22|€69.05m|€1.50m|2017|Scotland
681|Aberdeen FC|/aberdeen-fc/startseite/verein/370/saison_id/2017|24,0|16|€11.63m|€375k|2017|Scotland
682|Kilmarnock FC|/kilmarnock-fc/startseite/verein/2553/saison_id/2017|23,9|8|€11.40m|€335k|2017|Scotland
683|St. Johnstone|/st-johnstone-fc/startseite/verein/2578/saison_id/2017|24,4|11|€7.70m|€214k|2017|Scotland
684|Motherwell FC|/motherwell-fc/startseite/verein/987/saison_id/2017|23,0|22|€6.43m|€165k|2017|Scotland
685|Celtic|/celtic-glasgow/startseite/verein/371/saison_id/2018|23,6|26|€87.45m|€1.90m|2018|Scotland
686|Motherwell FC|/motherwell-fc/startseite/verein/987/saison_id/2018|23,2|29|€14.05m|€287k|2018|Scotland
687|Aberdeen FC|/aberdeen-fc/startseite/verein/370/saison_id/2018|23,5|17|€11.90m|€350k|2018|Scotland
688|Kilmarnock FC|/kilmarnock-fc/startseite/verein/2553/saison_id/2018|24,5|12|€11.53m|€339k|2018|Scotland
689|St. Johnstone|/st-johnstone-fc/startseite/verein/2578/saison_id/2018|23,9|15|€11.28m|€268k|2018|Scotland
690|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2009|24,4|8|€12.45m|€377k|2009|Finland
691|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2009|21,3|9|€6.45m|€208k|2009|Finland
692|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2009|23,0|11|€6.25m|€272k|2009|Finland
693|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2009|24,2|4|€4.90m|€233k|2009|Finland
694|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2009|23,2|6|€3.18m|€122k|2009|Finland
695|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2010|23,5|9|€12.85m|€313k|2010|Finland
696|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2010|22,6|13|€6.98m|€205k|2010|Finland
697|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2010|23,2|7|€5.95m|€198k|2010|Finland
698|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2010|23,9|7|€4.90m|€196k|2010|Finland
699|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2010|23,0|11|€4.85m|€173k|2010|Finland
700|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2011|24,0|6|€13.53m|€330k|2011|Finland
701|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2011|24,0|19|€8.68m|€202k|2011|Finland
702|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2011|23,9|8|€4.20m|€135k|2011|Finland
703|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2011|22,1|8|€4.15m|€160k|2011|Finland
704|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2011|23,1|15|€4.08m|€120k|2011|Finland
705|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2012|25,1|3|€12.78m|€376k|2012|Finland
706|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2012|23,6|13|€8.05m|€183k|2012|Finland
707|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2012|22,3|12|€6.95m|€178k|2012|Finland
708|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2012|22,8|25|€4.18m|€87k|2012|Finland
709|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2012|23,5|11|€3.95m|€127k|2012|Finland
710|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2013|22,7|5|€8.90m|€207k|2013|Finland
711|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2013|23,8|7|€5.88m|€245k|2013|Finland
712|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2013|24,6|14|€4.43m|€148k|2013|Finland
713|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2013|24,8|7|€2.80m|€117k|2013|Finland
714|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2013|21,5|8|€2.40m|€83k|2013|Finland
715|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2014|22,7|15|€15.35m|€252k|2014|Finland
716|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2014|23,2|13|€5.90m|€184k|2014|Finland
717|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2014|23,1|11|€4.70m|€115k|2014|Finland
718|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2014|22,5|12|€4.10m|€117k|2014|Finland
719|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2014|22,0|12|€3.90m|€115k|2014|Finland
720|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2015|22,9|17|€15.20m|€323k|2015|Finland
721|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2015|22,7|10|€4.85m|€147k|2015|Finland
722|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2015|23,8|12|€4.45m|€111k|2015|Finland
723|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2015|26,1|10|€3.00m|€143k|2015|Finland
724|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2015|22,3|11|€2.28m|€69k|2015|Finland
725|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2016|22,7|19|€9.93m|€211k|2016|Finland
726|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2016|23,4|9|€3.88m|€111k|2016|Finland
727|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2016|24,4|15|€3.85m|€113k|2016|Finland
728|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2016|21,5|7|€3.78m|€130k|2016|Finland
729|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2016|23,8|6|€2.45m|€107k|2016|Finland
730|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2017|21,9|14|€6.55m|€149k|2017|Finland
731|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2017|22,1|11|€5.15m|€156k|2017|Finland
732|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2017|24,3|20|€4.55m|€117k|2017|Finland
733|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2017|23,5|13|€3.35m|€96k|2017|Finland
734|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2017|22,1|6|€2.89m|€90k|2017|Finland
735|HJK Helsinki|/hjk-helsinki/startseite/verein/1008/saison_id/2018|23,0|16|€8.03m|€171k|2018|Finland
736|KuPS|/kuopion-palloseura/startseite/verein/6251/saison_id/2018|22,5|12|€4.45m|€127k|2018|Finland
737|FC Inter|/fc-inter-turku/startseite/verein/8042/saison_id/2018|22,9|9|€3.55m|€122k|2018|Finland
738|VPS|/vaasan-palloseura/startseite/verein/1102/saison_id/2018|21,7|7|€2.10m|€68k|2018|Finland
739|IFK Mariehamn|/ifk-mariehamn/startseite/verein/6017/saison_id/2018|22,9|10|€2.03m|€81k|2018|Finland
740|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2009|23,3|13|€28.05m|€801k|2009|Norway
741|Molde FK|/molde-fk/startseite/verein/687/saison_id/2009|24,0|10|€14.85m|€530k|2009|Norway
742|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2009|24,7|8|€10.00m|€345k|2009|Norway
743|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2009|22,8|10|€9.25m|€330k|2009|Norway
744|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2009|22,4|8|€6.08m|€217k|2009|Norway
745|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2009|24,7|11|€2.38m|€103k|2009|Norway
746|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2010|23,3|15|€34.95m|€852k|2010|Norway
747|Molde FK|/molde-fk/startseite/verein/687/saison_id/2010|23,1|15|€22.75m|€569k|2010|Norway
748|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2010|23,5|11|€14.65m|€523k|2010|Norway
749|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2010|22,3|13|€9.88m|€329k|2010|Norway
750|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2010|21,4|5|€8.18m|€264k|2010|Norway
751|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2010|23,6|10|€5.35m|€184k|2010|Norway
752|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2011|22,7|12|€24.18m|€780k|2011|Norway
753|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2011|24,4|12|€15.28m|€493k|2011|Norway
754|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2011|22,5|13|€14.88m|€438k|2011|Norway
755|Molde FK|/molde-fk/startseite/verein/687/saison_id/2011|22,7|9|€12.73m|€489k|2011|Norway
756|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2011|22,7|9|€8.13m|€290k|2011|Norway
757|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2011|21,7|7|€7.00m|€226k|2011|Norway
758|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2012|23,4|14|€26.38m|€754k|2012|Norway
759|Molde FK|/molde-fk/startseite/verein/687/saison_id/2012|21,8|15|€23.80m|€553k|2012|Norway
760|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2012|22,3|12|€19.35m|€509k|2012|Norway
761|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2012|21,8|6|€12.83m|€377k|2012|Norway
762|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2012|24,0|8|€11.53m|€397k|2012|Norway
763|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2012|23,4|11|€11.25m|€375k|2012|Norway
764|Molde FK|/molde-fk/startseite/verein/687/saison_id/2013|22,5|11|€25.55m|€691k|2013|Norway
765|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2013|23,6|10|€23.15m|€798k|2013|Norway
766|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2013|22,8|9|€14.50m|€403k|2013|Norway
767|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2013|24,1|9|€9.60m|€417k|2013|Norway
768|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2013|23,0|8|€8.93m|€308k|2013|Norway
769|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2013|24,4|5|€7.08m|€337k|2013|Norway
770|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2014|23,0|12|€20.93m|€654k|2014|Norway
771|Molde FK|/molde-fk/startseite/verein/687/saison_id/2014|23,5|8|€20.70m|€690k|2014|Norway
772|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2014|23,3|9|€16.60m|€503k|2014|Norway
773|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2014|23,5|14|€13.55m|€399k|2014|Norway
774|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2014|23,8|5|€7.05m|€271k|2014|Norway
775|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2014|22,0|9|€4.03m|€155k|2014|Norway
776|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2015|23,7|13|€22.85m|€672k|2015|Norway
777|Molde FK|/molde-fk/startseite/verein/687/saison_id/2015|23,1|13|€18.80m|€508k|2015|Norway
778|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2015|23,8|9|€16.55m|€460k|2015|Norway
779|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2015|23,5|8|€8.73m|€336k|2015|Norway
780|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2015|21,7|9|€6.58m|€244k|2015|Norway
781|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2015|22,0|9|€4.58m|€191k|2015|Norway
782|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2016|23,1|14|€24.55m|€629k|2016|Norway
783|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2016|24,0|12|€15.80m|€376k|2016|Norway
784|Molde FK|/molde-fk/startseite/verein/687/saison_id/2016|21,5|15|€11.43m|€317k|2016|Norway
785|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2016|22,2|8|€10.83m|€309k|2016|Norway
786|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2016|22,1|11|€7.00m|€233k|2016|Norway
787|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2016|22,8|14|€5.23m|€174k|2016|Norway
788|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2017|22,9|14|€23.45m|€586k|2017|Norway
789|Molde FK|/molde-fk/startseite/verein/687/saison_id/2017|22,3|13|€12.70m|€385k|2017|Norway
790|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2017|23,7|3|€10.85m|€350k|2017|Norway
791|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2017|22,5|14|€8.93m|€241k|2017|Norway
792|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2017|21,8|14|€8.45m|€235k|2017|Norway
793|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2017|22,8|12|€4.73m|€169k|2017|Norway
794|Rosenborg BK|/rosenborg-trondheim/startseite/verein/195/saison_id/2018|23,2|11|€24.25m|€638k|2018|Norway
795|Molde FK|/molde-fk/startseite/verein/687/saison_id/2018|22,9|13|€15.05m|€342k|2018|Norway
796|Str?msgodset|/stromsgodset-if/startseite/verein/2817/saison_id/2018|22,2|8|€10.75m|€250k|2018|Norway
797|V?lerenga|/valerenga-oslo/startseite/verein/76/saison_id/2018|22,8|12|€9.03m|€258k|2018|Norway
798|Lillestr?m SK|/lillestrom-sk/startseite/verein/353/saison_id/2018|23,4|15|€7.28m|€220k|2018|Norway
799|Haugesund|/fk-haugesund/startseite/verein/2761/saison_id/2018|21,9|12|€6.23m|€195k|2018|Norway
800|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2009|27,6|20|€26.15m|€769k|2009|Cyprus
801|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2009|26,1|18|€24.88m|€802k|2009|Cyprus
802|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2009|27,7|16|€17.55m|€548k|2009|Cyprus
803|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2009|25,6|20|€11.45m|€327k|2009|Cyprus
804|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2009|25,7|21|€9.43m|€349k|2009|Cyprus
805|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2010|25,8|27|€19.45m|€442k|2010|Cyprus
806|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2010|26,2|16|€18.50m|€638k|2010|Cyprus
807|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2010|25,7|24|€15.08m|€377k|2010|Cyprus
808|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2010|27,6|15|€14.28m|€510k|2010|Cyprus
809|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2010|25,5|18|€9.43m|€314k|2010|Cyprus
810|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2011|29,0|18|€18.95m|€677k|2011|Cyprus
811|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2011|26,9|22|€18.85m|€539k|2011|Cyprus
812|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2011|26,7|20|€17.40m|€580k|2011|Cyprus
813|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2011|25,9|20|€11.35m|€405k|2011|Cyprus
814|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2011|27,1|21|€9.20m|€329k|2011|Cyprus
815|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2012|28,9|19|€23.40m|€807k|2012|Cyprus
816|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2012|26,8|21|€16.45m|€514k|2012|Cyprus
817|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2012|25,6|19|€15.95m|€532k|2012|Cyprus
818|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2012|26,2|21|€12.20m|€407k|2012|Cyprus
819|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2012|25,1|18|€12.08m|€345k|2012|Cyprus
820|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2013|26,8|21|€20.75m|€576k|2013|Cyprus
821|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2013|25,7|25|€13.40m|€432k|2013|Cyprus
822|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2013|25,7|19|€13.15m|€376k|2013|Cyprus
823|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2013|25,7|20|€11.00m|€355k|2013|Cyprus
824|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2013|23,7|21|€10.38m|€259k|2013|Cyprus
825|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2014|26,1|17|€19.85m|€567k|2014|Cyprus
826|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2014|26,0|23|€14.75m|€434k|2014|Cyprus
827|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2014|25,0|21|€13.20m|€347k|2014|Cyprus
828|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2014|23,6|16|€12.00m|€400k|2014|Cyprus
829|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2014|25,5|24|€10.80m|€348k|2014|Cyprus
830|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2015|25,7|18|€19.63m|€503k|2015|Cyprus
831|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2015|25,8|24|€16.35m|€430k|2015|Cyprus
832|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2015|24,7|20|€16.28m|€452k|2015|Cyprus
833|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2015|24,1|19|€13.33m|€444k|2015|Cyprus
834|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2015|24,5|21|€8.03m|€229k|2015|Cyprus
835|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2016|26,1|20|€22.10m|€597k|2016|Cyprus
836|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2016|24,8|24|€18.20m|€396k|2016|Cyprus
837|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2016|24,7|21|€14.45m|€361k|2016|Cyprus
838|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2016|25,0|22|€11.28m|€342k|2016|Cyprus
839|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2016|24,8|19|€9.63m|€267k|2016|Cyprus
840|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2017|26,6|24|€24.75m|€669k|2017|Cyprus
841|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2017|25,4|23|€16.58m|€425k|2017|Cyprus
842|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2017|24,7|23|€15.35m|€394k|2017|Cyprus
843|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2017|25,4|19|€13.40m|€462k|2017|Cyprus
844|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2017|25,1|21|€10.25m|€301k|2017|Cyprus
845|APOEL Nicosia|/apoel-nikosia/startseite/verein/2784/saison_id/2018|25,7|27|€27.30m|€635k|2018|Cyprus
846|Apol. Limassol|/apollon-limassol/startseite/verein/429/saison_id/2018|24,1|20|€18.88m|€449k|2018|Cyprus
847|Omonia Nikosia|/omonia-nikosia/startseite/verein/829/saison_id/2018|24,1|25|€16.15m|€394k|2018|Cyprus
848|Anorthosis|/anorthosis-famagusta/startseite/verein/3899/saison_id/2018|24,2|23|€16.05m|€391k|2018|Cyprus
849|AEL Limassol|/ael-limassol/startseite/verein/786/saison_id/2018|24,6|21|€12.68m|€317k|2018|Cyprus
850|BATE Borisov|/bate-borisov/startseite/verein/713/saison_id/2009|22,6|4|€10.30m|€368k|2009|Belarus
851|Dinamo Minsk|/dinamo-minsk/startseite/verein/1180/saison_id/2009|23,2|9|€6.08m|€184k|2009|Belarus
852|Soligorsk|/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2009|25,0|2|€1.30m|€50k|2009|Belarus
853|FK Minsk|/fk-minsk/startseite/verein/23664/saison_id/2009|25,7|5|€700k|€32k|2009|Belarus
854|Torpedo Zhodino|/torpedo-zhodino/startseite/verein/7964/saison_id/2009|23,0|4|€650k|€24k|2009|Belarus
855|Neman Grodno|/neman-grodno/startseite/verein/14178/saison_id/2009|24,3|5|€150k|€7k|2009|Belarus
856|BATE Borisov|/bate-borisov/startseite/verein/713/saison_id/2010|22,4|9|€13.98m|€358k|2010|Belarus
857|Dinamo Minsk|/dinamo-minsk/startseite/verein/1180/saison_id/2010|21,9|11|€11.30m|€231k|2010|Belarus
858|FK Minsk|/fk-minsk/startseite/verein/23664/saison_id/2010|24,9|5|€6.33m|€181k|2010|Belarus
859|Neman Grodno|/neman-grodno/startseite/verein/14178/saison_id/2010|24,7|8|€5.15m|€147k|2010|Belarus
860|Soligorsk|/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2010|25,4|4|€5.10m|€176k|2010|Belarus
861|Torpedo Zhodino|/torpedo-zhodino/startseite/verein/7964/saison_id/2010|24,6|9|€5.03m|€136k|2010|Belarus
862|BATE Borisov|/bate-borisov/startseite/verein/713/saison_id/2011|23,4|6|€21.98m|€523k|2011|Belarus
863|FK Minsk|/fk-minsk/startseite/verein/23664/saison_id/2011|24,7|12|€12.33m|€257k|2011|Belarus
864|Dinamo Minsk|/dinamo-minsk/startseite/verein/1180/saison_id/2011|22,5|12|€11.95m|€266k|2011|Belarus
865|Soligorsk|/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2011|26,3|8|€9.70m|€323k|2011|Belarus
866|Neman Grodno|/neman-grodno/startseite/verein/14178/saison_id/2011|25,4|7|€7.83m|€237k|2011|Belarus
867|Torpedo Zhodino|/torpedo-zhodino/startseite/verein/7964/saison_id/2011|23,9|1|€5.88m|€190k|2011|Belarus
868|BATE Borisov|/bate-borisov/startseite/verein/713/saison_id/2012|24,6|3|€23.65m|€657k|2012|Belarus
869|Dinamo Minsk|/dinamo-minsk/startseite/verein/1180/saison_id/2012|23,5|15|€18.63m|€405k|2012|Belarus
870|Torpedo Zhodino|/torpedo-zhodino/startseite/verein/7964/saison_id/2012|25,9|10|€9.50m|€216k|2012|Belarus
871|Soligorsk|/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2012|27,6|7|€8.10m|€312k|2012|Belarus
872|FK Minsk|/fk-minsk/startseite/verein/23664/saison_id/2012|24,0|6|€7.90m|€226k|2012|Belarus
873|Neman Grodno|/neman-grodno/startseite/verein/14178/saison_id/2012|24,9|11|€6.93m|€223k|2012|Belarus
874|BATE Borisov|/bate-borisov/startseite/verein/713/saison_id/2013|25,2|4|€23.70m|€741k|2013|Belarus
875|Dinamo Minsk|/dinamo-minsk/startseite/verein/1180/saison_id/2013|24,6|12|€13.25m|€390k|2013|Belarus
876|Soligorsk|/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2013|27,2|9|€9.05m|€292k|2013|Belarus
877|Neman Grodno|/neman-grodno/startseite/verein/14178/saison_id/2013|25,6|7|€7.80m|€269k|2013|Belarus
878|FK Minsk|/fk-minsk/startseite/verein/23664/saison_id/2013|23,7|7|€6.85m|€201k|2013|Belarus
879|Torpedo Zhodino|/torpedo-zhodino/startseite/verein/7964/saison_id/2013|27,2|9|€5.95m|€198k|2013|Belarus
880|BATE Borisov|/bate-borisov/startseite/verein/713/saison_id/2014|24,7|7|€22.63m|€665k|2014|Belarus
881|Dinamo Minsk|/dinamo-minsk/startseite/verein/1180/saison_id/2014|24,5|14|€16.50m|€485k|2014|Belarus
882|Soligorsk|/shakhtjor-soligorsk/startseite/verein/10695/saison_id/2014|27,3|12|€10.60m|€312k|2014|Belarus
883|Neman Grodno|/neman-grodno/startseite/verein/14178/saison_id/2014|24,9|7|€6.88m|€181k|2014|Belarus
884|Torpedo Zhodino|/torpedo-zhodino/startseite/verein/7964/saison_id/2014|27,6|5|€5.55m|€231k|2014|Belarus
885|FK Minsk|/fk-minsk/startseite/verein/23664/saison_id/2014|22,0|3|€4.80m|€155k|2014|Belarus
886|BATE Borisov|/bate-borisov/startseite/verein/713/saison_id/2015|23,2|7|€20.03m|€435k|2015|Belarus
887|Dinamo Minsk|/dinamo-minsk/startseite/verein/1180/saison_id/2015|25,0|12|€14.45m|€352k|2015|Belarus
