|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
251|42.771 Seats|Stadion Miejski|30|Ä275k|Ä75k|Ä75k|Ä380k|Ä-305k
252|22.432 Seats|Stadion Miejski|34|Ä350k|Ä900k|Ä1.28m|Ä783k|+Ä498k
253|43.615 Seats|Stadion Energa GdaÒsk|28|Ä215k|Ä140k|Ä330k|Ä590k|Ä-260k
254|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|37|Ä50k|Ä3.20m|Ä6.11m|Ä50k|+Ä6.06m
255|42.837 Seats|Stadion PoznaÒ|29|Ä350k|Ä200k|Ä370k|Ä350k|+Ä20k
256|33.130 Seats|Stadion Miejski im. Henryka Reymana|31|Ä650k|Ä80k|Ä115k|Ä1.10m|Ä-985k
257|42.771 Seats|Stadion Miejski|31|Ä300k|Free transfer|0|Ä800k|Ä-800k
258|22.432 Seats|Stadion Miejski|37|Ä280k|Ä1.90m|Ä2.19m|Ä650k|+Ä1.54m
259|43.615 Seats|Stadion Energa GdaÒsk|34|Ä70k|Ä20k|Ä20k|Ä270k|Ä-250k
260|15.500 Seats|Suzuki Arena|36|Ä25k|Ä120k|Ä120k|Ä45k|+Ä75k
261|33.130 Seats|Stadion Miejski im. Henryka Reymana|33|Ä40k|Ä800k|Ä1.80m|Ä42k|+Ä1.76m
262|42.771 Seats|Stadion Miejski|34|Free transfer|Free transfer|0|0|0
263|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|33|Ä100k|Ä2.70m|Ä2.70m|Ä210k|+Ä2.49m
264|42.837 Seats|Stadion PoznaÒ|33|Ä410k|Ä3.50m|Ä4.13m|Ä945k|+Ä3.18m
265|43.615 Seats|Stadion Energa GdaÒsk|41|Ä100k|Ä500k|Ä500k|Ä110k|+Ä390k
266|15.500 Seats|Suzuki Arena|38|Ä10k|Ä13k|Ä13k|Ä13k|0
267|22.432 Seats|Stadion Miejski|36|Ä200k|Ä1.00m|Ä1.60m|Ä260k|+Ä1.34m
268|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|42|Ä500k|Ä2.65m|Ä5.33m|Ä1.64m|+Ä3.69m
269|42.837 Seats|Stadion PoznaÒ|34|Ä100k|Ä3.20m|Ä3.43m|Ä100k|+Ä3.33m
270|42.771 Seats|Stadion Miejski|36|Ä26k|Ä1.00m|Ä1.00m|Ä26k|+Ä974k
271|33.130 Seats|Stadion Miejski im. Henryka Reymana|38|Free transfer|Ä150k|Ä180k|0|+Ä180k
272|22.432 Seats|Stadion Miejski|43|Ä50k|Ä500k|Ä580k|Ä50k|+Ä530k
273|15.500 Seats|Suzuki Arena|43|Ä100k|Ä50k|Ä55k|Ä115k|Ä-60k
274|43.615 Seats|Stadion Energa GdaÒsk|39|Ä200k|Ä400k|Ä755k|Ä230k|+Ä525k
275|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|39|Ä800k|Ä2.25m|Ä5.18m|Ä1.61m|+Ä3.57m
276|42.837 Seats|Stadion PoznaÒ|33|Ä600k|Ä4.00m|Ä4.00m|Ä1.60m|+Ä2.40m
277|43.615 Seats|Stadion Energa GdaÒsk|40|Ä800k|Ä2.50m|Ä2.58m|Ä2.90m|Ä-320k
278|33.130 Seats|Stadion Miejski im. Henryka Reymana|32|Ä75k|Ä1.40m|Ä1.40m|Ä75k|+Ä1.33m
279|15.500 Seats|Suzuki Arena|35|Free transfer|Ä2k|Ä2k|0|+Ä2k
280|42.771 Seats|Stadion Miejski|31|Ä5k|Ä370k|Ä370k|Ä7k|+Ä364k
281|22.432 Seats|Stadion Miejski|43|Ä75k|Ä700k|Ä950k|Ä127k|+Ä823k
282|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|36|Ä800k|Ä1.50m|Ä2.75m|Ä2.93m|Ä-175k
283|42.837 Seats|Stadion PoznaÒ|35|Ä500k|Ä200k|Ä210k|Ä1.70m|Ä-1.49m
284|43.615 Seats|Stadion Energa GdaÒsk|37|Ä500k|Ä800k|Ä1.10m|Ä910k|+Ä190k
285|22.432 Seats|Stadion Miejski|41|Ä250k|Ä1.00m|Ä2.70m|Ä693k|+Ä2.01m
286|33.130 Seats|Stadion Miejski im. Henryka Reymana|36|Ä400k|Ä75k|Ä110k|Ä475k|Ä-365k
287|42.771 Seats|Stadion Miejski|31|Free transfer|Ä300k|Ä400k|0|+Ä400k
288|15.500 Seats|Suzuki Arena|43|Free transfer|Ä13k|Ä13k|0|+Ä13k
289|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|48|Ä1.00m|Ä4.20m|Ä14.80m|Ä4.32m|+Ä10.48m
290|43.615 Seats|Stadion Energa GdaÒsk|40|Ä500k|Ä50k|Ä75k|Ä550k|Ä-475k
291|42.837 Seats|Stadion PoznaÒ|39|Ä300k|Ä3.20m|Ä6.07m|Ä300k|+Ä5.77m
292|33.130 Seats|Stadion Miejski im. Henryka Reymana|37|Free transfer|Ä1.00m|Ä1.80m|0|+Ä1.80m
293|22.432 Seats|Stadion Miejski|37|Ä300k|Ä2.50m|Ä2.50m|Ä350k|+Ä2.15m
294|42.771 Seats|Stadion Miejski|31|Free transfer|Free transfer|0|0|0
295|15.500 Seats|Suzuki Arena|44|Free transfer|Free transfer|0|0|0
296|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|48|Ä750k|Ä2.50m|Ä4.95m|Ä3.10m|+Ä1.85m
297|43.615 Seats|Stadion Energa GdaÒsk|40|Free transfer|Ä2.60m|Ä3.07m|0|+Ä3.07m
298|42.837 Seats|Stadion PoznaÒ|34|Ä650k|Ä6.00m|Ä12.49m|Ä1.28m|+Ä11.21m
299|22.432 Seats|Stadion Miejski|37|Ä600k|Ä1.50m|Ä2.16m|Ä1.26m|+Ä900k
300|33.130 Seats|Stadion Miejski im. Henryka Reymana|40|Free transfer|Ä2.20m|Ä2.60m|0|+Ä2.60m
301|42.771 Seats|Stadion Miejski|35|Ä75k|Ä275k|Ä275k|Ä165k|+Ä110k
302|15.500 Seats|Suzuki Arena|37|Ä50k|Ä100k|Ä100k|Ä50k|+Ä50k
303|30.967 Seats|Stadion Miejski im. Marsza≥ka JÛzefa Pi≥sudskiego|44|Ä500k|Ä275k|Ä275k|Ä1.93m|Ä-1.65m
304|42.837 Seats|Stadion PoznaÒ|41|Ä1.00m|Ä800k|Ä1.25m|Ä1.43m|Ä-175k
305|22.432 Seats|Stadion Miejski|45|Ä550k|Ä2.00m|Ä3.86m|Ä1.11m|+Ä2.75m
306|33.130 Seats|Stadion Miejski im. Henryka Reymana|45|Ä125k|Ä550k|Ä1.11m|Ä178k|+Ä935k
307|43.615 Seats|Stadion Energa GdaÒsk|36|Free transfer|Ä500k|Ä500k|0|+Ä500k
308|42.771 Seats|Stadion Miejski|37|Ä90k|Ä300k|Ä300k|Ä203k|+Ä98k
309|15.500 Seats|Suzuki Arena|37|Ä40k|Ä100k|Ä175k|Ä40k|+Ä135k
310|23.500 Seats|Dr. Constantin R„dulescu|34|Ä1.00m|Ä6.50m|Ä8.90m|Ä1.28m|+Ä7.62m
311|15.032 Seats|Dinamo|34|Ä150k|Ä600k|Ä2.20m|Ä150k|+Ä2.05m
312|23.500 Seats|Dr. Constantin R„dulescu|41|Ä900k|Ä6.00m|Ä11.70m|Ä3.53m|+Ä8.17m
313|15.032 Seats|Dinamo|41|Ä250k|Ä2.00m|Ä5.45m|Ä750k|+Ä4.70m
314|23.500 Seats|Dr. Constantin R„dulescu|34|Ä300k|Ä1.00m|Ä2.00m|Ä530k|+Ä1.47m
315|15.032 Seats|Dinamo|35|Ä700k|Ä5.00m|Ä5.74m|Ä2.05m|+Ä3.69m
316|23.500 Seats|Dr. Constantin R„dulescu|38|Ä800k|Ä3.50m|Ä9.70m|Ä2.00m|+Ä7.70m
317|15.032 Seats|Dinamo|36|Ä150k|Ä1.00m|Ä2.15m|Ä250k|+Ä1.90m
318|23.500 Seats|Dr. Constantin R„dulescu|43|Ä1.00m|Ä200k|Ä300k|Ä1.54m|Ä-1.24m
319|15.032 Seats|Dinamo|47|Ä1.10m|Ä1.60m|Ä2.10m|Ä1.30m|+Ä805k
320|15.032 Seats|Dinamo|47|Ä25k|Ä1.00m|Ä1.00m|Ä25k|+Ä975k
321|23.500 Seats|Dr. Constantin R„dulescu|46|Ä100k|Ä1.00m|Ä1.85m|Ä130k|+Ä1.72m
322|15.032 Seats|Dinamo|43|Ä180k|Ä200k|Ä450k|Ä215k|+Ä235k
323|23.500 Seats|Dr. Constantin R„dulescu|32|Free transfer|Ä500k|Ä1.00m|0|+Ä1.00m
324|15.032 Seats|Dinamo|39|Ä30k|Ä2.20m|Ä3.70m|Ä30k|+Ä3.67m
325|23.500 Seats|Dr. Constantin R„dulescu|37|Free transfer|Ä500k|Ä1.30m|0|+Ä1.30m
326|15.032 Seats|Dinamo|43|Ä50k|Ä700k|Ä2.65m|Ä50k|+Ä2.60m
327|23.500 Seats|Dr. Constantin R„dulescu|37|Ä1.00m|Free transfer|0|Ä2.80m|Ä-2.80m
328|23.500 Seats|Dr. Constantin R„dulescu|38|Ä20k|Ä2.50m|Ä2.50m|Ä20k|+Ä2.48m
329|15.032 Seats|Dinamo|54|Ä50k|Ä500k|Ä560k|Ä50k|+Ä510k
330|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|32|Ä8.00m|Ä1.50m|Ä3.95m|Ä16.15m|Ä-12.20m
331|32.115 Seats|Stadio Georgios Karaiskakis|35|Ä3.00m|Ä5.00m|Ä5.00m|Ä7.80m|Ä-2.80m
332|28.703 Seats|Toumba Stadium|33|Ä1.80m|Ä150k|Ä150k|Ä2.80m|Ä-2.65m
333|11.700 Seats|Stadio Neas Smyrnis|39|Ä150k|Ä860k|Ä940k|Ä735k|+Ä205k
334|7.423 Seats|Gipedo Theodoros Kolokotronis|29|Ä500k|Free transfer|0|Ä950k|Ä-950k
335|9.050 Seats|Stadio Peristeriou|30|Ä250k|Ä200k|Ä200k|Ä590k|Ä-390k
336|32.115 Seats|Stadio Georgios Karaiskakis|38|Ä6.00m|Ä2.00m|Ä5.00m|Ä13.60m|Ä-8.60m
337|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|36|Ä915k|Ä700k|Ä1.92m|Ä1.99m|Ä-75k
338|28.703 Seats|Toumba Stadium|39|Ä250k|Free transfer|0|Ä810k|Ä-810k
339|11.700 Seats|Stadio Neas Smyrnis|36|Ä120k|Ä1.20m|Ä1.59m|Ä120k|+Ä1.47m
340|7.423 Seats|Gipedo Theodoros Kolokotronis|38|Ä45k|Ä400k|Ä570k|Ä45k|+Ä525k
341|9.050 Seats|Stadio Peristeriou|29|Free transfer|Ä150k|Ä335k|0|+Ä335k
342|32.115 Seats|Stadio Georgios Karaiskakis|40|Ä3.00m|Ä3.00m|Ä3.00m|Ä12.16m|Ä-9.16m
343|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|36|Ä500k|Ä5.80m|Ä7.95m|Ä1.08m|+Ä6.87m
344|28.703 Seats|Toumba Stadium|45|Ä400k|Ä4.00m|Ä4.49m|Ä400k|+Ä4.09m
345|11.700 Seats|Stadio Neas Smyrnis|49|Free transfer|Ä350k|Ä705k|0|+Ä705k
346|9.050 Seats|Stadio Peristeriou|28|Free transfer|Ä500k|Ä500k|0|+Ä500k
347|7.423 Seats|Gipedo Theodoros Kolokotronis|37|Free transfer|Ä250k|Ä250k|0|+Ä250k
348|32.115 Seats|Stadio Georgios Karaiskakis|33|Ä2.70m|Ä7.65m|Ä8.10m|Ä5.00m|+Ä3.11m
349|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|39|Ä150k|Free transfer|0|Ä290k|Ä-290k
350|28.703 Seats|Toumba Stadium|36|Ä220k|Ä1.50m|Ä1.95m|Ä220k|+Ä1.73m
351|9.050 Seats|Stadio Peristeriou|31|Free transfer|Ä220k|Ä220k|0|+Ä220k
352|7.423 Seats|Gipedo Theodoros Kolokotronis|37|Ä24k|Free transfer|0|Ä24k|Ä-24k
353|11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|Ä350k|Ä690k|0|+Ä690k
354|32.115 Seats|Stadio Georgios Karaiskakis|38|Ä2.50m|Ä15.20m|Ä33.62m|Ä9.04m|+Ä24.58m
355|28.703 Seats|Toumba Stadium|52|Ä1.00m|Ä100k|Ä100k|Ä2.80m|Ä-2.70m
356|7.423 Seats|Gipedo Theodoros Kolokotronis|44|Free transfer|Ä800k|Ä800k|0|+Ä800k
357|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|33|Ä200k|Ä3.00m|Ä4.99m|Ä260k|+Ä4.73m
358|9.050 Seats|Stadio Peristeriou|31|Free transfer|Ä350k|Ä950k|0|+Ä950k
359|11.700 Seats|Stadio Neas Smyrnis|32|Free transfer|Ä750k|Ä750k|0|+Ä750k
360|32.115 Seats|Stadio Georgios Karaiskakis|41|Ä6.00m|Ä15.00m|Ä28.50m|Ä25.88m|+Ä2.62m
361|28.703 Seats|Toumba Stadium|33|Ä450k|Ä300k|Ä300k|Ä770k|Ä-470k
362|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|33|Ä50k|Ä2.25m|Ä2.25m|Ä50k|+Ä2.20m
363|7.423 Seats|Gipedo Theodoros Kolokotronis|41|Free transfer|Ä1.20m|Ä1.20m|0|+Ä1.20m
364|9.050 Seats|Stadio Peristeriou|32|Free transfer|Ä600k|Ä650k|0|+Ä650k
365|11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|Ä500k|Ä500k|0|+Ä500k
366|32.115 Seats|Stadio Georgios Karaiskakis|40|Ä5.42m|Ä2.50m|Ä4.88m|Ä20.52m|Ä-15.64m
367|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|42|Ä600k|Ä2.50m|Ä2.50m|Ä2.85m|Ä-350k
368|28.703 Seats|Toumba Stadium|50|Ä1.30m|Ä1.50m|Ä3.00m|Ä7.19m|Ä-4.19m
369|7.423 Seats|Gipedo Theodoros Kolokotronis|37|Ä140k|Ä2.50m|Ä4.00m|Ä140k|+Ä3.86m
370|9.050 Seats|Stadio Peristeriou|31|Ä200k|Ä480k|Ä880k|Ä330k|+Ä550k
371|11.700 Seats|Stadio Neas Smyrnis|31|Free transfer|Ä550k|Ä1.40m|0|+Ä1.40m
372|32.115 Seats|Stadio Georgios Karaiskakis|54|Ä3.00m|Ä15.10m|Ä53.25m|Ä13.35m|+Ä39.90m
373|28.703 Seats|Toumba Stadium|51|Ä2.90m|Ä5.30m|Ä9.50m|Ä6.55m|+Ä2.95m
374|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|44|Ä625k|Ä250k|Ä580k|Ä2.58m|Ä-2.00m
375|7.423 Seats|Gipedo Theodoros Kolokotronis|39|Ä180k|Ä500k|Ä500k|Ä330k|+Ä170k
376|9.050 Seats|Stadio Peristeriou|34|Free transfer|Ä600k|Ä600k|0|+Ä600k
377|11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|Ä400k|Ä850k|0|+Ä850k
378|32.115 Seats|Stadio Georgios Karaiskakis|43|Ä7.10m|Ä17.50m|Ä23.05m|Ä21.40m|+Ä1.65m
379|28.703 Seats|Toumba Stadium|40|Ä1.50m|Ä2.50m|Ä2.50m|Ä7.30m|Ä-4.80m
380|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|41|Ä1.30m|Ä3.30m|Ä4.65m|Ä1.72m|+Ä2.93m
381|7.423 Seats|Gipedo Theodoros Kolokotronis|38|Free transfer|Ä980k|Ä980k|0|+Ä980k
382|11.700 Seats|Stadio Neas Smyrnis|33|Free transfer|Ä600k|Ä800k|0|+Ä800k
383|9.050 Seats|Stadio Peristeriou|31|Free transfer|Ä900k|Ä1.70m|0|+Ä1.70m
384|32.115 Seats|Stadio Georgios Karaiskakis|57|Ä7.00m|Ä3.00m|Ä10.80m|Ä16.23m|Ä-5.43m
385|28.703 Seats|Toumba Stadium|54|Ä4.00m|Ä10.00m|Ä11.20m|Ä10.30m|+Ä900k
386|9.050 Seats|Stadio Peristeriou|36|Free transfer|Ä200k|Ä200k|0|+Ä200k
387|69.618 Seats|Olympiako Stadio Athinas Spyros Louis|42|Free transfer|Ä2.40m|Ä2.40m|0|+Ä2.40m
388|11.700 Seats|Stadio Neas Smyrnis|35|Free transfer|Ä400k|Ä400k|0|+Ä400k
389|7.423 Seats|Gipedo Theodoros Kolokotronis|41|Free transfer|Ä850k|Ä1.63m|0|+Ä1.63m
390|33.500 Seats|Teddy-Kollek-Stadion|25|Free transfer|Ä150k|Ä163k|0|+Ä163k
391|29.150 Seats|Bloomfield|25|Free transfer|Ä300k|Ä300k|0|+Ä300k
392|30.820 Seats|Sammy Ofer Stadium|27|Ä500k|Ä40k|Ä74k|Ä2.02m|Ä-1.95m
393|8.500 Seats|Doha Stadium|36|Ä120k|Ä500k|Ä500k|Ä175k|+Ä325k
394|16.126 Seats|Toto Jacob Turner Stadium|30|Ä250k|Free transfer|0|Ä250k|Ä-250k
395|30.820 Seats|Sammy Ofer Stadium|28|Ä14k|Free transfer|0|Ä14k|Ä-14k
396|29.150 Seats|Bloomfield|34|Ä2.00m|Ä1.00m|Ä1.00m|Ä5.06m|Ä-4.06m
397|30.820 Seats|Sammy Ofer Stadium|27|Ä1.00m|Ä1.80m|Ä4.15m|Ä2.23m|+Ä1.93m
398|33.500 Seats|Teddy-Kollek-Stadion|31|Free transfer|Ä1.45m|Ä2.90m|0|+Ä2.90m
399|8.500 Seats|Doha Stadium|30|Free transfer|Free transfer|0|0|0
400|16.126 Seats|Toto Jacob Turner Stadium|35|Ä115k|Ä675k|Ä675k|Ä115k|+Ä560k
401|30.820 Seats|Sammy Ofer Stadium|23|Free transfer|Free transfer|0|0|0
402|30.820 Seats|Sammy Ofer Stadium|35|Ä1.00m|Ä2.50m|Ä3.05m|Ä4.65m|Ä-1.60m
403|29.150 Seats|Bloomfield|33|Ä250k|Ä500k|Ä600k|Ä810k|Ä-210k
404|30.820 Seats|Sammy Ofer Stadium|32|Ä37k|Ä35k|Ä35k|Ä37k|Ä-2k
405|33.500 Seats|Teddy-Kollek-Stadion|32|Free transfer|Ä800k|Ä1.00m|0|+Ä1.00m
406|16.126 Seats|Toto Jacob Turner Stadium|34|Free transfer|Free transfer|0|0|0
407|8.500 Seats|Doha Stadium|28|Free transfer|Free transfer|0|0|0
408|29.150 Seats|Bloomfield|31|Ä450k|Ä2.00m|Ä2.40m|Ä1.40m|+Ä1.01m
409|30.820 Seats|Sammy Ofer Stadium|32|Ä800k|Free transfer|0|Ä2.18m|Ä-2.18m
410|33.500 Seats|Teddy-Kollek-Stadion|30|Free transfer|Ä250k|Ä250k|0|+Ä250k
411|30.820 Seats|Sammy Ofer Stadium|33|Free transfer|Ä67k|Ä67k|0|+Ä67k
412|16.126 Seats|Toto Jacob Turner Stadium|33|Ä205k|Free transfer|0|Ä205k|Ä-205k
413|8.500 Seats|Doha Stadium|33|Free transfer|Ä300k|Ä320k|0|+Ä320k
414|29.150 Seats|Bloomfield|27|Ä1.13m|Ä1.50m|Ä2.32m|Ä1.63m|+Ä690k
415|30.820 Seats|Sammy Ofer Stadium|38|Ä800k|Free transfer|0|Ä2.00m|Ä-2.00m
416|33.500 Seats|Teddy-Kollek-Stadion|40|Ä175k|Ä500k|Ä500k|Ä290k|+Ä210k
417|16.126 Seats|Toto Jacob Turner Stadium|30|Ä165k|Free transfer|0|Ä235k|Ä-235k
418|8.500 Seats|Doha Stadium|37|Free transfer|Free transfer|0|0|0
419|30.820 Seats|Sammy Ofer Stadium|32|Free transfer|Ä200k|Ä465k|0|+Ä465k
420|30.820 Seats|Sammy Ofer Stadium|33|Ä155k|Ä450k|Ä700k|Ä155k|+Ä545k
421|29.150 Seats|Bloomfield|29|Ä700k|Free transfer|0|Ä2.00m|Ä-2.00m
422|33.500 Seats|Teddy-Kollek-Stadion|35|Ä300k|Free transfer|0|Ä610k|Ä-610k
423|16.126 Seats|Toto Jacob Turner Stadium|30|Ä200k|Ä250k|Ä250k|Ä530k|Ä-280k
424|30.820 Seats|Sammy Ofer Stadium|36|Free transfer|Ä165k|Ä320k|0|+Ä320k
425|8.500 Seats|Doha Stadium|39|Ä100k|Free transfer|0|Ä100k|Ä-100k
426|29.150 Seats|Bloomfield|31|Ä3.00m|Ä1.00m|Ä1.40m|Ä4.50m|Ä-3.10m
427|30.820 Seats|Sammy Ofer Stadium|36|Ä300k|Ä500k|Ä500k|Ä720k|Ä-220k
428|33.500 Seats|Teddy-Kollek-Stadion|32|Ä100k|Ä600k|Ä1.37m|Ä140k|+Ä1.23m
429|16.126 Seats|Toto Jacob Turner Stadium|28|Ä450k|Free transfer|0|Ä1.12m|Ä-1.12m
430|30.820 Seats|Sammy Ofer Stadium|0|Ä175k|Free transfer|0|0|0
431|8.500 Seats|Doha Stadium|29|Free transfer|Free transfer|0|0|0
432|29.150 Seats|Bloomfield|33|Ä3.50m|Ä7.23m|Ä7.83m|Ä6.92m|+Ä908k
433|30.820 Seats|Sammy Ofer Stadium|40|Ä1.10m|Ä1.20m|Ä1.45m|Ä4.30m|Ä-2.85m
434|33.500 Seats|Teddy-Kollek-Stadion|35|Ä500k|Ä750k|Ä1.45m|Ä590k|+Ä860k
435|16.126 Seats|Toto Jacob Turner Stadium|34|Ä1.00m|Ä1.00m|Ä1.00m|Ä2.48m|Ä-1.48m
436|30.820 Seats|Sammy Ofer Stadium|30|Free transfer|Ä88k|Ä123k|0|+Ä123k
437|8.500 Seats|Doha Stadium|29|Ä250k|Free transfer|0|Ä250k|Ä-250k
438|29.150 Seats|Bloomfield|36|Ä1.00m|Ä2.90m|Ä2.90m|Ä1.82m|+Ä1.08m
439|30.820 Seats|Sammy Ofer Stadium|28|Ä500k|Ä650k|Ä850k|Ä1.20m|Ä-350k
440|16.126 Seats|Toto Jacob Turner Stadium|34|Ä1.20m|Ä250k|Ä275k|Ä3.87m|Ä-3.60m
441|33.500 Seats|Teddy-Kollek-Stadion|34|Ä500k|Free transfer|0|Ä500k|Ä-500k
442|30.820 Seats|Sammy Ofer Stadium|26|Free transfer|Ä80k|Ä90k|0|+Ä90k
443|8.500 Seats|Doha Stadium|32|Free transfer|Free transfer|0|0|0
444|16.126 Seats|Toto Jacob Turner Stadium|42|Ä2.00m|Ä4.37m|Ä5.47m|Ä4.56m|+Ä910k
445|29.150 Seats|Bloomfield|31|Ä200k|Ä2.50m|Ä2.71m|Ä200k|+Ä2.51m
446|30.820 Seats|Sammy Ofer Stadium|29|Ä1.40m|Ä500k|Ä700k|Ä1.82m|Ä-1.12m
447|33.500 Seats|Teddy-Kollek-Stadion|41|Ä1.00m|Ä300k|Ä580k|Ä1.95m|Ä-1.37m
448|8.500 Seats|Doha Stadium|31|Free transfer|Ä35k|Ä35k|0|+Ä35k
449|30.820 Seats|Sammy Ofer Stadium|29|Ä120k|Ä420k|Ä520k|Ä200k|+Ä320k
450|29.200 Seats|Georgi Asparuhov Stadium|40|Ä150k|Ä400k|Ä1.30m|Ä225k|+Ä1.08m
451|25.556 Seats|Slavia Stadium|35|Ä50k|Ä150k|Ä180k|Ä50k|+Ä130k
452|13.000 Seats|Lokomotiv|38|Ä50k|Ä40k|Ä40k|Ä51k|Ä-11k
453|12.500 Seats|Stadion Ticha|35|Ä50k|Ä20k|Ä20k|Ä80k|Ä-60k
454|12.128 Seats|Stadion Beroe|39|Free transfer|Ä30k|Ä30k|0|+Ä30k
455|29.200 Seats|Georgi Asparuhov Stadium|39|Ä240k|Ä1.00m|Ä2.10m|Ä785k|+Ä1.32m
456|25.556 Seats|Slavia Stadium|43|Ä50k|Ä600k|Ä1.36m|Ä50k|+Ä1.31m
457|13.000 Seats|Lokomotiv|35|Ä50k|Ä200k|Ä350k|Ä50k|+Ä300k
458|12.500 Seats|Stadion Ticha|32|Free transfer|Ä240k|Ä240k|0|+Ä240k
459|12.128 Seats|Stadion Beroe|40|Ä10k|Ä100k|Ä100k|Ä10k|+Ä90k
460|29.200 Seats|Georgi Asparuhov Stadium|35|Ä375k|Ä2.20m|Ä2.59m|Ä885k|+Ä1.71m
461|25.556 Seats|Slavia Stadium|39|Ä70k|Ä80k|Ä80k|Ä180k|Ä-100k
462|12.128 Seats|Stadion Beroe|47|Ä35k|Ä90k|Ä170k|Ä51k|+Ä119k
463|13.000 Seats|Lokomotiv|35|Free transfer|Ä200k|Ä200k|0|+Ä200k
464|12.500 Seats|Stadion Ticha|40|Free transfer|Ä50k|Ä50k|0|+Ä50k
465|25.556 Seats|Slavia Stadium|39|Free transfer|Ä50k|Ä50k|0|+Ä50k
466|29.200 Seats|Georgi Asparuhov Stadium|37|Ä400k|Ä150k|Ä195k|Ä1.25m|Ä-1.06m
467|13.000 Seats|Lokomotiv|51|Ä50k|Ä350k|Ä350k|Ä50k|+Ä300k
468|12.128 Seats|Stadion Beroe|36|Free transfer|Ä35k|Ä60k|0|+Ä60k
469|12.500 Seats|Stadion Ticha|30|Ä120k|Ä25k|Ä25k|Ä120k|Ä-95k
470|29.200 Seats|Georgi Asparuhov Stadium|48|Ä250k|Ä600k|Ä1.45m|Ä585k|+Ä865k
471|12.128 Seats|Stadion Beroe|36|Free transfer|Ä70k|Ä105k|0|+Ä105k
472|13.000 Seats|Lokomotiv|50|Free transfer|Ä200k|Ä300k|0|+Ä300k
473|25.556 Seats|Slavia Stadium|42|Free transfer|Ä1.00m|Ä1.40m|0|+Ä1.40m
474|12.500 Seats|Stadion Ticha|31|Free transfer|Ä100k|Ä100k|0|+Ä100k
475|29.200 Seats|Georgi Asparuhov Stadium|38|Ä50k|Free transfer|0|Ä50k|Ä-50k
476|12.128 Seats|Stadion Beroe|30|Free transfer|Ä80k|Ä80k|0|+Ä80k
477|25.556 Seats|Slavia Stadium|39|Free transfer|Free transfer|0|0|0
478|12.500 Seats|Stadion Ticha|43|Free transfer|Free transfer|0|0|0
479|13.000 Seats|Lokomotiv|39|Free transfer|Free transfer|0|0|0
480|29.200 Seats|Georgi Asparuhov Stadium|36|Ä200k|Free transfer|0|Ä420k|Ä-420k
481|12.128 Seats|Stadion Beroe|38|Free transfer|Ä5k|Ä5k|0|+Ä5k
482|12.500 Seats|Stadion Ticha|34|Free transfer|Ä100k|Ä100k|0|+Ä100k
483|13.000 Seats|Lokomotiv|41|Free transfer|Free transfer|0|0|0
484|25.556 Seats|Slavia Stadium|38|Free transfer|Ä150k|Ä150k|0|+Ä150k
485|29.200 Seats|Georgi Asparuhov Stadium|54|Ä170k|Free transfer|0|Ä245k|Ä-245k
486|12.128 Seats|Stadion Beroe|52|Free transfer|Free transfer|0|0|0
487|12.500 Seats|Stadion Ticha|49|Free transfer|Ä200k|Ä200k|0|+Ä200k
488|13.000 Seats|Lokomotiv|45|Free transfer|Ä100k|Ä100k|0|+Ä100k
489|25.556 Seats|Slavia Stadium|39|Free transfer|Free transfer|0|0|0
490|29.200 Seats|Georgi Asparuhov Stadium|40|Ä200k|Ä550k|Ä1.59m|Ä300k|+Ä1.29m
491|12.500 Seats|Stadion Ticha|39|Free transfer|Free transfer|0|0|0
492|12.128 Seats|Stadion Beroe|37|Free transfer|Free transfer|0|0|0
493|13.000 Seats|Lokomotiv|42|Free transfer|Ä300k|Ä300k|0|+Ä300k
494|25.556 Seats|Slavia Stadium|45|Ä50k|Ä1.70m|Ä3.20m|Ä50k|+Ä3.15m
495|29.200 Seats|Georgi Asparuhov Stadium|43|Ä500k|Free transfer|0|Ä1.05m|Ä-1.05m
496|12.128 Seats|Stadion Beroe|38|Free transfer|Ä300k|Ä910k|0|+Ä910k
