|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
869|22.246 Seats|Dinamo|49|Ä190k|Ä1.20m|Ä1.20m|Ä435k|+Ä765k
870|6.524 Seats|Torpedo|48|Free transfer|Ä65k|Ä65k|0|+Ä65k
871|4.200 Seats|Stroitel|33|Free transfer|Free transfer|0|0|0
872|3.000 Seats|Stadion FK Minsk|41|Free transfer|Free transfer|0|0|0
873|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|36|Free transfer|Free transfer|0|0|0
874|13.126 Seats|Borisov-Arena|38|Ä80k|Ä435k|Ä1.02m|Ä191k|+Ä829k
875|22.246 Seats|Dinamo|38|Ä350k|Ä7k|Ä7k|Ä350k|Ä-343k
876|4.200 Seats|Stroitel|37|Free transfer|Free transfer|0|0|0
877|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|37|Free transfer|Free transfer|0|0|0
878|3.000 Seats|Stadion FK Minsk|43|Free transfer|Free transfer|0|0|0
879|6.524 Seats|Torpedo|34|Free transfer|Free transfer|0|0|0
880|13.126 Seats|Borisov-Arena|39|Ä35k|Ä1.00m|Ä1.00m|Ä35k|+Ä965k
881|22.246 Seats|Dinamo|41|Ä200k|Free transfer|0|Ä200k|Ä-200k
882|4.200 Seats|Stroitel|36|Free transfer|Ä250k|Ä250k|0|+Ä250k
883|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|41|Free transfer|Ä60k|Ä66k|0|+Ä66k
884|6.524 Seats|Torpedo|30|Free transfer|Free transfer|0|0|0
885|3.000 Seats|Stadion FK Minsk|35|Free transfer|Free transfer|0|0|0
886|13.126 Seats|Borisov-Arena|50|Ä1.00m|Ä1.50m|Ä1.95m|Ä1.25m|+Ä700k
887|22.246 Seats|Dinamo|49|Ä59k|Ä700k|Ä1.25m|Ä109k|+Ä1.14m
888|4.200 Seats|Stroitel|37|Ä19k|Free transfer|0|Ä19k|Ä-19k
889|6.524 Seats|Torpedo|48|Free transfer|Free transfer|0|0|0
890|3.000 Seats|Stadion FK Minsk|40|Free transfer|Ä50k|Ä50k|0|+Ä50k
891|8.479 Seats|"Tsentralny Sportivny Komplex ""Neman"""|39|Free transfer|Free transfer|0|0|0
892|13.126 Seats|Borisov-Arena|39|Ä370k|Ä500k|Ä528k|Ä436k|+Ä93k
893|22.246 Seats|Dinamo|43|Free transfer|Free transfer|0|0|0
894|4.200 Seats|Stroitel|40|Ä28k|Ä2k|Ä2k|Ä47k|Ä-45k
895|6.524 Seats|Torpedo|41|Free transfer|Free transfer|0|0|0
