TransfermarktId|WinsELQ|DrawsELQ|LossesELQ|Year
1004|1.0|0.0|1.0|2011
1017|1.0|0.0|1.0|2011
1056|0.0|1.0|1.0|2011
1090|1.0|1.0|0.0|2011
1091|2.0|0.0|0.0|2011
1101|2.0|3.0|1.0|2011
1109|4.0|1.0|1.0|2011
1185|0.0|1.0|1.0|2011
1189|2.0|0.0|4.0|2011
1242|0.0|1.0|1.0|2011
1251|0.0|1.0|1.0|2011
1268|3.0|0.0|1.0|2011
1293|2.0|1.0|1.0|2011
1322|2.0|1.0|1.0|2011
1443|1.0|0.0|1.0|2011
1519|1.0|0.0|1.0|2011
2049|0.0|1.0|1.0|2011
2156|3.0|1.0|0.0|2011
2275|0.0|1.0|1.0|2011
2282|1.0|0.0|1.0|2011
2300|1.0|0.0|1.0|2011
2420|1.0|1.0|0.0|2011
2477|2.0|0.0|0.0|2011
2481|0.0|1.0|1.0|2011
2573|1.0|1.0|2.0|2011
2703|0.0|2.0|0.0|2011
2740|3.0|1.0|0.0|2011
2782|2.0|0.0|2.0|2011
2817|0.0|0.0|2.0|2011
3237|3.0|0.0|3.0|2011
3811|0.0|1.0|1.0|2011
3899|2.0|0.0|2.0|2011
4391|1.0|0.0|1.0|2011
4602|3.0|1.0|0.0|2011
4641|5.0|0.0|1.0|2011
4772|2.0|3.0|1.0|2011
5155|2.0|2.0|2.0|2011
5411|1.0|1.0|2.0|2011
5546|0.0|1.0|1.0|2011
5619|4.0|1.0|1.0|2011
5771|0.0|1.0|1.0|2011
5972|0.0|0.0|2.0|2011
6163|0.0|0.0|2.0|2011
6248|0.0|0.0|2.0|2011
6251|1.0|0.0|1.0|2011
7130|0.0|0.0|2.0|2011
8036|1.0|0.0|1.0|2011
8047|0.0|1.0|1.0|2011
8104|1.0|2.0|1.0|2011
8671|1.0|2.0|1.0|2011
8780|0.0|1.0|1.0|2011
8841|0.0|1.0|1.0|2011
9026|1.0|0.0|3.0|2011
9095|3.0|0.0|1.0|2011
9211|0.0|1.0|1.0|2011
9828|0.0|0.0|2.0|2011
10157|0.0|4.0|0.0|2011
10262|0.0|1.0|1.0|2011
10480|2.0|1.0|1.0|2011
10540|1.0|1.0|2.0|2011
10603|0.0|0.0|2.0|2011
10607|0.0|0.0|2.0|2011
10625|3.0|2.0|1.0|2011
10639|0.0|0.0|2.0|2011
10694|0.0|0.0|2.0|2011
10695|0.0|0.0|2.0|2011
10734|1.0|1.0|2.0|2011
10747|0.0|0.0|2.0|2011
10752|0.0|2.0|0.0|2011
10791|1.0|0.0|1.0|2011
11411|0.0|1.0|1.0|2011
11540|0.0|1.0|1.0|2011
11910|0.0|0.0|2.0|2011
11914|1.0|1.0|2.0|2011
11915|1.0|0.0|1.0|2011
11976|0.0|1.0|1.0|2011
12004|0.0|1.0|1.0|2011
12163|3.0|2.0|1.0|2011
12423|0.0|2.0|0.0|2011
12460|1.0|0.0|3.0|2011
13326|0.0|1.0|1.0|2011
13418|0.0|0.0|2.0|2011
14344|0.0|0.0|2.0|2011
18506|0.0|1.0|1.0|2011
21532|0.0|0.0|2.0|2011
21717|0.0|1.0|1.0|2011
22783|0.0|1.0|1.0|2011
22842|1.0|0.0|1.0|2011
23559|0.0|0.0|2.0|2011
23562|0.0|0.0|2.0|2011
23664|1.0|2.0|1.0|2011
24530|0.0|0.0|2.0|2011
28633|0.0|0.0|2.0|2011
28958|0.0|0.0|2.0|2011
30686|0.0|0.0|2.0|2011
20|1.0|0.0|1.0|2012
31|2.0|0.0|0.0|2012
42|2.0|0.0|0.0|2012
46|1.0|0.0|1.0|2012
61|2.0|2.0|0.0|2012
121|1.0|1.0|0.0|2012
156|1.0|0.0|1.0|2012
157|2.0|0.0|2.0|2012
159|1.0|3.0|0.0|2012
170|1.0|0.0|1.0|2012
195|3.0|3.0|0.0|2012
197|1.0|1.0|0.0|2012
208|0.0|2.0|0.0|2012
238|3.0|2.0|1.0|2012
244|1.0|1.0|0.0|2012
253|0.0|1.0|1.0|2012
255|2.0|1.0|1.0|2012
266|1.0|2.0|1.0|2012
272|2.0|1.0|1.0|2012
282|3.0|1.0|2.0|2012
301|1.0|0.0|1.0|2012
306|1.0|0.0|1.0|2012
317|5.0|1.0|0.0|2012
318|2.0|0.0|2.0|2012
327|2.0|0.0|2.0|2012
365|2.0|1.0|1.0|2012
447|2.0|0.0|2.0|2012
448|2.0|1.0|1.0|2012
452|2.0|0.0|2.0|2012
455|3.0|0.0|1.0|2012
499|1.0|1.0|2.0|2012
503|1.0|2.0|1.0|2012
540|0.0|2.0|0.0|2012
602|0.0|1.0|1.0|2012
621|1.0|0.0|1.0|2012
634|0.0|1.0|1.0|2012
678|0.0|0.0|2.0|2012
709|2.0|0.0|2.0|2012
710|0.0|0.0|2.0|2012
825|1.0|2.0|1.0|2012
829|0.0|2.0|0.0|2012
941|4.0|0.0|0.0|2012
1004|3.0|0.0|3.0|2012
1043|1.0|0.0|1.0|2012
1091|2.0|0.0|0.0|2012
1101|3.0|1.0|2.0|2012
1167|0.0|1.0|1.0|2012
1184|2.0|0.0|0.0|2012
1185|2.0|1.0|1.0|2012
1189|2.0|1.0|3.0|2012
1242|0.0|1.0|1.0|2012
1251|1.0|0.0|1.0|2012
1257|0.0|0.0|2.0|2012
1274|1.0|0.0|1.0|2012
1293|2.0|2.0|0.0|2012
1301|0.0|2.0|0.0|2012
1519|0.0|1.0|1.0|2012
2049|1.0|2.0|1.0|2012
2230|0.0|1.0|1.0|2012
2259|0.0|1.0|1.0|2012
2362|3.0|0.0|1.0|2012
2414|1.0|1.0|0.0|2012
2578|0.0|1.0|1.0|2012
2688|1.0|1.0|2.0|2012
2700|4.0|0.0|0.0|2012
2714|2.0|1.0|1.0|2012
2783|2.0|1.0|1.0|2012
2784|4.0|0.0|0.0|2012
3649|0.0|1.0|1.0|2012
3654|4.0|0.0|2.0|2012
3739|0.0|0.0|2.0|2012
3779|2.0|0.0|2.0|2012
3811|2.0|1.0|1.0|2012
3899|3.0|0.0|1.0|2012
3900|0.0|2.0|0.0|2012
4059|2.0|3.0|1.0|2012
4772|2.0|1.0|1.0|2012
4807|1.0|1.0|2.0|2012
5155|2.0|0.0|2.0|2012
5223|1.0|0.0|1.0|2012
5546|2.0|0.0|2.0|2012
5594|1.0|1.0|2.0|2012
5619|1.0|1.0|2.0|2012
5771|1.0|0.0|3.0|2012
5970|1.0|0.0|1.0|2012
5972|0.0|1.0|1.0|2012
6163|1.0|1.0|2.0|2012
6251|3.0|1.0|2.0|2012
6676|0.0|4.0|0.0|2012
7130|0.0|0.0|2.0|2012
8036|1.0|0.0|1.0|2012
8042|0.0|1.0|1.0|2012
8047|1.0|1.0|2.0|2012
8563|0.0|1.0|1.0|2012
8780|0.0|1.0|1.0|2012
8841|1.0|2.0|1.0|2012
8956|2.0|2.0|0.0|2012
9007|1.0|0.0|1.0|2012
9095|2.0|0.0|2.0|2012
9211|0.0|1.0|1.0|2012
9828|1.0|0.0|1.0|2012
9849|0.0|0.0|2.0|2012
10157|2.0|1.0|3.0|2012
10262|0.0|2.0|0.0|2012
10301|1.0|0.0|1.0|2012
10603|0.0|0.0|2.0|2012
10604|0.0|1.0|1.0|2012
10616|0.0|0.0|2.0|2012
10693|0.0|1.0|1.0|2012
10694|3.0|0.0|3.0|2012
10695|0.0|2.0|0.0|2012
10752|1.0|0.0|1.0|2012
10791|3.0|0.0|1.0|2012
10854|0.0|0.0|2.0|2012
11107|2.0|2.0|0.0|2012
11540|0.0|0.0|2.0|2012
11907|3.0|0.0|1.0|2012
11914|2.0|0.0|2.0|2012
11915|0.0|1.0|1.0|2012
12132|0.0|1.0|1.0|2012
12460|0.0|0.0|2.0|2012
15299|0.0|1.0|1.0|2012
16779|1.0|2.0|1.0|2012
18506|0.0|2.0|2.0|2012
21532|0.0|0.0|2.0|2012
21864|1.0|1.0|2.0|2012
22502|0.0|1.0|1.0|2012
22783|0.0|1.0|1.0|2012
23911|1.0|0.0|3.0|2012
24349|0.0|0.0|2.0|2012
24832|0.0|0.0|2.0|2012
28633|0.0|0.0|2.0|2012
30037|0.0|2.0|2.0|2012
30686|1.0|0.0|1.0|2012
32017|3.0|0.0|1.0|2012
20|0.0|1.0|1.0|2013
79|0.0|2.0|0.0|2013
84|0.0|1.0|1.0|2013
122|0.0|1.0|1.0|2013
128|1.0|0.0|3.0|2013
144|3.0|1.0|0.0|2013
156|0.0|1.0|1.0|2013
159|1.0|2.0|1.0|2013
163|0.0|2.0|0.0|2013
170|1.0|1.0|0.0|2013
195|2.0|1.0|1.0|2013
197|0.0|1.0|1.0|2013
200|0.0|1.0|1.0|2013
238|3.0|0.0|1.0|2013
253|0.0|1.0|1.0|2013
260|0.0|0.0|2.0|2013
282|2.0|1.0|1.0|2013
329|0.0|1.0|1.0|2013
368|2.0|0.0|0.0|2013
410|2.0|0.0|0.0|2013
447|1.0|1.0|2.0|2013
448|5.0|1.0|0.0|2013
449|3.0|1.0|0.0|2013
496|3.0|2.0|1.0|2013
499|0.0|1.0|1.0|2013
602|3.0|2.0|1.0|2013
618|2.0|0.0|0.0|2013
697|3.0|0.0|1.0|2013
709|2.0|0.0|2.0|2013
710|1.0|0.0|1.0|2013
759|2.0|2.0|0.0|2013
801|0.0|1.0|1.0|2013
829|0.0|1.0|1.0|2013
853|0.0|1.0|1.0|2013
903|0.0|0.0|2.0|2013
920|0.0|0.0|2.0|2013
938|4.0|0.0|0.0|2013
987|0.0|0.0|2.0|2013
1002|0.0|2.0|0.0|2013
1017|1.0|2.0|1.0|2013
1043|2.0|0.0|2.0|2013
1053|0.0|1.0|1.0|2013
1064|3.0|1.0|0.0|2013
1109|1.0|1.0|2.0|2013
