|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
62|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2017|23,2|7|7.83m|237k|2017|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|33|Free transfer|500k|950k|0|+950k
63|Dinamo Zagreb|/gnk-dinamo-zagreb/startseite/verein/419/saison_id/2018|23,7|17|44.28m|1.11m|2018|Croatia|35.123 Seats|Maksimir|40|2.65m|14.50m|33.50m|10.05m|+23.45m
64|Hajduk Split|/hnk-hajduk-split/startseite/verein/447/saison_id/2018|22,4|18|24.60m|615k|2018|Croatia|34.183 Seats|Poljud|40|450k|6.30m|15.40m|925k|+14.48m
65|HNK Rijeka|/hnk-rijeka/startseite/verein/144/saison_id/2018|21,7|18|22.90m|467k|2018|Croatia|8.136 Seats|Stadion Rujevica|49|800k|5.00m|12.38m|800k|+11.58m
66|NK Osijek|/nk-osijek/startseite/verein/327/saison_id/2018|23,0|14|20.78m|495k|2018|Croatia|18.856 Seats|Gradski vrt|42|30k|2.70m|10.95m|30k|+10.92m
67|NK Lokomotiva|/nk-lokomotiva-zagreb/startseite/verein/11194/saison_id/2018|21,9|14|9.00m|173k|2018|Croatia|8.850 Seats|Kranjceviceva|52|350k|2.50m|2.65m|600k|+2.05m
68|Slaven Belupo|/slaven-belupo-koprivnica/startseite/verein/2362/saison_id/2018|23,4|9|8.70m|249k|2018|Croatia|5.000 Seats|Gradski Stadion Ivan Kusek Apas|35|Free transfer|2.28m|2.28m|0|+2.28m
69|NK Istra|/nk-istra-1961/startseite/verein/999/saison_id/2018|22,1|31|7.58m|158k|2018|Croatia|9.056 Seats|Aldo Drosina|48|250k|Free transfer|0|250k|-250k
70|Partizan|/fk-partizan-belgrad/startseite/verein/669/saison_id/2009|24,1|9|41.95m|1.23m|2009|Serbia|32.710 Seats|Partizan Stadion|34|400k|6.80m|11.44m|1.17m|+10.27m
71|Vojvodina|/fk-vojvodina-novi-sad/startseite/verein/448/saison_id/2009|22,6|18|19.68m|532k|2009|Serbia|14.852 Seats|Stadion Karadjordje|37|160k|2.25m|4.28m|260k|+4.02m
72|Red Star|/roter-stern-belgrad/startseite/verein/159/saison_id/2009|23,8|7|17.48m|530k|2009|Serbia|51.755 Seats|Rajko Mitiæ Stadium|34|472k|2.80m|6.46m|1.78m|+4.67m
