|Team|Link|Age|AbroadPlayers|Value|Difference|Year|Country|StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
389|Asteras Tripoli|/asteras-tripolis/startseite/verein/6676/saison_id/2018|22,7|12|14.20m|346k|2018|Greece|7.423 Seats|Gipedo Theodoros Kolokotronis|41|Free transfer|850k|1.63m|0|+1.63m
390|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2009|23,4|3|6.80m|272k|2009|Israel|33.500 Seats|Teddy-Kollek-Stadion|25|Free transfer|150k|163k|0|+163k
391|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2009|24,0|6|6.68m|267k|2009|Israel|29.150 Seats|Bloomfield|25|Free transfer|300k|300k|0|+300k
392|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2009|22,9|8|4.73m|175k|2009|Israel|30.820 Seats|Sammy Ofer Stadium|27|500k|40k|74k|2.02m|-1.95m
393|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2009|24,0|9|2.50m|69k|2009|Israel|8.500 Seats|Doha Stadium|36|120k|500k|500k|175k|+325k
394|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2009|24,7|8|1.48m|49k|2009|Israel|16.126 Seats|Toto Jacob Turner Stadium|30|250k|Free transfer|0|250k|-250k
395|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2009|24,1|6|775k|28k|2009|Israel|30.820 Seats|Sammy Ofer Stadium|28|14k|Free transfer|0|14k|-14k
396|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2010|24,5|6|15.95m|515k|2010|Israel|29.150 Seats|Bloomfield|34|2.00m|1.00m|1.00m|5.06m|-4.06m
397|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2010|23,6|9|15.48m|595k|2010|Israel|30.820 Seats|Sammy Ofer Stadium|27|1.00m|1.80m|4.15m|2.23m|+1.93m
398|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2010|24,2|6|11.15m|360k|2010|Israel|33.500 Seats|Teddy-Kollek-Stadion|31|Free transfer|1.45m|2.90m|0|+2.90m
399|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2010|25,5|8|5.83m|216k|2010|Israel|8.500 Seats|Doha Stadium|30|Free transfer|Free transfer|0|0|0
400|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2010|23,9|7|4.53m|137k|2010|Israel|16.126 Seats|Toto Jacob Turner Stadium|35|115k|675k|675k|115k|+560k
401|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2010|24,3|3|3.38m|147k|2010|Israel|30.820 Seats|Sammy Ofer Stadium|23|Free transfer|Free transfer|0|0|0
402|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2011|22,8|10|17.60m|503k|2011|Israel|30.820 Seats|Sammy Ofer Stadium|35|1.00m|2.50m|3.05m|4.65m|-1.60m
403|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2011|22,8|6|11.50m|348k|2011|Israel|29.150 Seats|Bloomfield|33|250k|500k|600k|810k|-210k
404|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2011|24,3|6|7.45m|233k|2011|Israel|30.820 Seats|Sammy Ofer Stadium|32|37k|35k|35k|37k|-2k
405|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2011|22,6|5|7.05m|227k|2011|Israel|33.500 Seats|Teddy-Kollek-Stadion|32|Free transfer|800k|1.00m|0|+1.00m
406|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2011|23,6|9|6.18m|193k|2011|Israel|16.126 Seats|Toto Jacob Turner Stadium|34|Free transfer|Free transfer|0|0|0
407|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2011|24,1|4|3.25m|125k|2011|Israel|8.500 Seats|Doha Stadium|28|Free transfer|Free transfer|0|0|0
408|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2012|24,8|6|16.43m|657k|2012|Israel|29.150 Seats|Bloomfield|31|450k|2.00m|2.40m|1.40m|+1.01m
409|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2012|23,5|7|12.83m|428k|2012|Israel|30.820 Seats|Sammy Ofer Stadium|32|800k|Free transfer|0|2.18m|-2.18m
410|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2012|23,1|5|6.60m|220k|2012|Israel|33.500 Seats|Teddy-Kollek-Stadion|30|Free transfer|250k|250k|0|+250k
411|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2012|24,7|7|6.48m|209k|2012|Israel|30.820 Seats|Sammy Ofer Stadium|33|Free transfer|67k|67k|0|+67k
412|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2012|23,6|7|5.85m|189k|2012|Israel|16.126 Seats|Toto Jacob Turner Stadium|33|205k|Free transfer|0|205k|-205k
413|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2012|23,9|8|5.78m|186k|2012|Israel|8.500 Seats|Doha Stadium|33|Free transfer|300k|320k|0|+320k
414|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2013|25,5|6|14.55m|560k|2013|Israel|29.150 Seats|Bloomfield|27|1.13m|1.50m|2.32m|1.63m|+690k
415|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2013|23,5|7|13.48m|408k|2013|Israel|30.820 Seats|Sammy Ofer Stadium|38|800k|Free transfer|0|2.00m|-2.00m
416|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2013|23,7|9|11.60m|305k|2013|Israel|33.500 Seats|Teddy-Kollek-Stadion|40|175k|500k|500k|290k|+210k
417|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2013|24,9|7|9.65m|371k|2013|Israel|16.126 Seats|Toto Jacob Turner Stadium|30|165k|Free transfer|0|235k|-235k
418|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2013|24,9|8|8.95m|249k|2013|Israel|8.500 Seats|Doha Stadium|37|Free transfer|Free transfer|0|0|0
419|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2013|25,9|7|5.90m|184k|2013|Israel|30.820 Seats|Sammy Ofer Stadium|32|Free transfer|200k|465k|0|+465k
420|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2014|27,2|9|21.45m|650k|2014|Israel|30.820 Seats|Sammy Ofer Stadium|33|155k|450k|700k|155k|+545k
421|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2014|25,8|6|17.50m|625k|2014|Israel|29.150 Seats|Bloomfield|29|700k|Free transfer|0|2.00m|-2.00m
422|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2014|25,2|7|10.43m|298k|2014|Israel|33.500 Seats|Teddy-Kollek-Stadion|35|300k|Free transfer|0|610k|-610k
423|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2014|25,2|6|10.10m|348k|2014|Israel|16.126 Seats|Toto Jacob Turner Stadium|30|200k|250k|250k|530k|-280k
424|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2014|24,9|8|6.10m|169k|2014|Israel|30.820 Seats|Sammy Ofer Stadium|36|Free transfer|165k|320k|0|+320k
425|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2014|24,0|7|5.25m|135k|2014|Israel|8.500 Seats|Doha Stadium|39|100k|Free transfer|0|100k|-100k
426|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2015|26,7|8|26.45m|912k|2015|Israel|29.150 Seats|Bloomfield|31|3.00m|1.00m|1.40m|4.50m|-3.10m
427|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2015|25,4|6|20.70m|609k|2015|Israel|30.820 Seats|Sammy Ofer Stadium|36|300k|500k|500k|720k|-220k
428|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2015|24,8|6|12.28m|396k|2015|Israel|33.500 Seats|Teddy-Kollek-Stadion|32|100k|600k|1.37m|140k|+1.23m
429|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2015|26,8|4|11.33m|453k|2015|Israel|16.126 Seats|Toto Jacob Turner Stadium|28|450k|Free transfer|0|1.12m|-1.12m
430|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2015|25,2|7|6.85m|221k|2015|Israel|30.820 Seats|Sammy Ofer Stadium|0|175k|Free transfer|0|0|0
431|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2015|25,0|7|4.53m|156k|2015|Israel|8.500 Seats|Doha Stadium|29|Free transfer|Free transfer|0|0|0
432|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2016|26,3|11|31.65m|959k|2016|Israel|29.150 Seats|Bloomfield|33|3.50m|7.23m|7.83m|6.92m|+908k
433|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2016|24,0|10|17.80m|445k|2016|Israel|30.820 Seats|Sammy Ofer Stadium|40|1.10m|1.20m|1.45m|4.30m|-2.85m
434|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2016|25,2|7|16.95m|499k|2016|Israel|33.500 Seats|Teddy-Kollek-Stadion|35|500k|750k|1.45m|590k|+860k
435|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2016|25,5|7|14.25m|419k|2016|Israel|16.126 Seats|Toto Jacob Turner Stadium|34|1.00m|1.00m|1.00m|2.48m|-1.48m
436|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2016|25,3|6|9.40m|313k|2016|Israel|30.820 Seats|Sammy Ofer Stadium|30|Free transfer|88k|123k|0|+123k
437|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2016|23,9|7|7.03m|242k|2016|Israel|8.500 Seats|Doha Stadium|29|250k|Free transfer|0|250k|-250k
438|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2017|24,5|8|23.50m|671k|2017|Israel|29.150 Seats|Bloomfield|36|1.00m|2.90m|2.90m|1.82m|+1.08m
439|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2017|26,1|7|16.15m|577k|2017|Israel|30.820 Seats|Sammy Ofer Stadium|28|500k|650k|850k|1.20m|-350k
440|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2017|26,3|7|16.13m|489k|2017|Israel|16.126 Seats|Toto Jacob Turner Stadium|34|1.20m|250k|275k|3.87m|-3.60m
441|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2017|24,8|8|14.80m|435k|2017|Israel|33.500 Seats|Teddy-Kollek-Stadion|34|500k|Free transfer|0|500k|-500k
442|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2017|26,0|6|8.48m|326k|2017|Israel|30.820 Seats|Sammy Ofer Stadium|26|Free transfer|80k|90k|0|+90k
443|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2017|24,9|6|6.90m|216k|2017|Israel|8.500 Seats|Doha Stadium|32|Free transfer|Free transfer|0|0|0
444|H. Beer Sheva|/hapoel-beer-sheva/startseite/verein/2976/saison_id/2018|26,7|10|25.95m|618k|2018|Israel|16.126 Seats|Toto Jacob Turner Stadium|42|2.00m|4.37m|5.47m|4.56m|+910k
445|M. Tel Aviv|/maccabi-tel-aviv/startseite/verein/119/saison_id/2018|24,2|6|18.23m|588k|2018|Israel|29.150 Seats|Bloomfield|31|200k|2.50m|2.71m|200k|+2.51m
446|Maccabi Haifa|/maccabi-haifa/startseite/verein/1064/saison_id/2018|25,9|9|16.05m|553k|2018|Israel|30.820 Seats|Sammy Ofer Stadium|29|1.40m|500k|700k|1.82m|-1.12m
447|B. Jerusalem|/beitar-jerusalem/startseite/verein/3793/saison_id/2018|26,2|11|15.43m|376k|2018|Israel|33.500 Seats|Teddy-Kollek-Stadion|41|1.00m|300k|580k|1.95m|-1.37m
448|Bnei Sakhnin|/hapoel-bnei-sachnin/startseite/verein/4769/saison_id/2018|25,1|7|8.10m|261k|2018|Israel|8.500 Seats|Doha Stadium|31|Free transfer|35k|35k|0|+35k
449|Hapoel Haifa|/hapoel-haifa/startseite/verein/810/saison_id/2018|26,5|6|8.10m|279k|2018|Israel|30.820 Seats|Sammy Ofer Stadium|29|120k|420k|520k|200k|+320k
450|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2009|23,9|12|8.28m|207k|2009|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|40|150k|400k|1.30m|225k|+1.08m
451|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2009|24,9|9|4.78m|136k|2009|Bulgaria|25.556 Seats|Slavia Stadium|35|50k|150k|180k|50k|+130k
452|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2009|23,5|10|4.15m|109k|2009|Bulgaria|13.000 Seats|Lokomotiv|38|50k|40k|40k|51k|-11k
453|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2009|25,7|4|3.33m|101k|2009|Bulgaria|12.500 Seats|Stadion Ticha|35|50k|20k|20k|80k|-60k
454|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2009|24,9|1|375k|10k|2009|Bulgaria|12.128 Seats|Stadion Beroe|39|Free transfer|30k|30k|0|+30k
455|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2010|23,3|11|14.13m|362k|2010|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|39|240k|1.00m|2.10m|785k|+1.32m
456|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2010|23,4|10|8.58m|204k|2010|Bulgaria|25.556 Seats|Slavia Stadium|43|50k|600k|1.36m|50k|+1.31m
457|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2010|25,2|16|6.55m|187k|2010|Bulgaria|13.000 Seats|Lokomotiv|35|50k|200k|350k|50k|+300k
458|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2010|24,5|6|5.23m|163k|2010|Bulgaria|12.500 Seats|Stadion Ticha|32|Free transfer|240k|240k|0|+240k
459|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2010|24,9|2|2.75m|71k|2010|Bulgaria|12.128 Seats|Stadion Beroe|40|10k|100k|100k|10k|+90k
460|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2011|23,3|11|16.00m|457k|2011|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|35|375k|2.20m|2.59m|885k|+1.71m
461|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2011|24,1|6|9.13m|240k|2011|Bulgaria|25.556 Seats|Slavia Stadium|39|70k|80k|80k|180k|-100k
462|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2011|26,4|7|7.80m|170k|2011|Bulgaria|12.128 Seats|Stadion Beroe|47|35k|90k|170k|51k|+119k
463|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2011|25,4|12|7.40m|218k|2011|Bulgaria|13.000 Seats|Lokomotiv|35|Free transfer|200k|200k|0|+200k
464|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2011|24,5|6|4.33m|111k|2011|Bulgaria|12.500 Seats|Stadion Ticha|40|Free transfer|50k|50k|0|+50k
465|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2012|26,2|8|14.10m|362k|2012|Bulgaria|25.556 Seats|Slavia Stadium|39|Free transfer|50k|50k|0|+50k
466|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2012|23,2|11|13.40m|372k|2012|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|37|400k|150k|195k|1.25m|-1.06m
467|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2012|26,0|10|12.60m|257k|2012|Bulgaria|13.000 Seats|Lokomotiv|51|50k|350k|350k|50k|+300k
468|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2012|24,9|13|9.65m|276k|2012|Bulgaria|12.128 Seats|Stadion Beroe|36|Free transfer|35k|60k|0|+60k
469|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2012|24,3|6|7.33m|244k|2012|Bulgaria|12.500 Seats|Stadion Ticha|30|120k|25k|25k|120k|-95k
470|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2013|23,5|16|27.80m|579k|2013|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|48|250k|600k|1.45m|585k|+865k
471|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2013|24,7|11|12.15m|347k|2013|Bulgaria|12.128 Seats|Stadion Beroe|36|Free transfer|70k|105k|0|+105k
472|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2013|25,2|10|11.20m|249k|2013|Bulgaria|13.000 Seats|Lokomotiv|50|Free transfer|200k|300k|0|+300k
473|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2013|24,3|8|10.18m|254k|2013|Bulgaria|25.556 Seats|Slavia Stadium|42|Free transfer|1.00m|1.40m|0|+1.40m
474|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2013|23,6|3|7.95m|284k|2013|Bulgaria|12.500 Seats|Stadion Ticha|31|Free transfer|100k|100k|0|+100k
475|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2014|23,9|11|16.70m|439k|2014|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|38|50k|Free transfer|0|50k|-50k
476|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2014|25,3|11|10.75m|358k|2014|Bulgaria|12.128 Seats|Stadion Beroe|30|Free transfer|80k|80k|0|+80k
477|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2014|23,7|9|9.80m|251k|2014|Bulgaria|25.556 Seats|Slavia Stadium|39|Free transfer|Free transfer|0|0|0
478|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2014|23,9|10|9.63m|235k|2014|Bulgaria|12.500 Seats|Stadion Ticha|43|Free transfer|Free transfer|0|0|0
479|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2014|24,7|6|7.23m|185k|2014|Bulgaria|13.000 Seats|Lokomotiv|39|Free transfer|Free transfer|0|0|0
480|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2015|23,3|14|12.88m|358k|2015|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|36|200k|Free transfer|0|420k|-420k
481|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2015|24,9|8|12.18m|320k|2015|Bulgaria|12.128 Seats|Stadion Beroe|38|Free transfer|5k|5k|0|+5k
482|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2015|25,6|12|9.95m|293k|2015|Bulgaria|12.500 Seats|Stadion Ticha|34|Free transfer|100k|100k|0|+100k
483|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2015|25,4|10|9.78m|238k|2015|Bulgaria|13.000 Seats|Lokomotiv|41|Free transfer|Free transfer|0|0|0
484|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2015|22,7|9|6.93m|182k|2015|Bulgaria|25.556 Seats|Slavia Stadium|38|Free transfer|150k|150k|0|+150k
485|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2016|23,8|22|21.08m|390k|2016|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|54|170k|Free transfer|0|245k|-245k
486|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2016|24,5|16|12.92m|248k|2016|Bulgaria|12.128 Seats|Stadion Beroe|52|Free transfer|Free transfer|0|0|0
487|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2016|25,7|14|11.70m|239k|2016|Bulgaria|12.500 Seats|Stadion Ticha|49|Free transfer|200k|200k|0|+200k
488|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2016|24,5|15|9.78m|222k|2016|Bulgaria|13.000 Seats|Lokomotiv|45|Free transfer|100k|100k|0|+100k
489|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2016|22,8|7|5.47m|140k|2016|Bulgaria|25.556 Seats|Slavia Stadium|39|Free transfer|Free transfer|0|0|0
490|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2017|23,2|21|16.50m|413k|2017|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|40|200k|550k|1.59m|300k|+1.29m
491|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2017|24,8|10|8.25m|212k|2017|Bulgaria|12.500 Seats|Stadion Ticha|39|Free transfer|Free transfer|0|0|0
492|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2017|24,7|10|8.18m|227k|2017|Bulgaria|12.128 Seats|Stadion Beroe|37|Free transfer|Free transfer|0|0|0
493|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2017|24,6|19|7.88m|197k|2017|Bulgaria|13.000 Seats|Lokomotiv|42|Free transfer|300k|300k|0|+300k
494|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2017|22,5|10|6.27m|146k|2017|Bulgaria|25.556 Seats|Slavia Stadium|45|50k|1.70m|3.20m|50k|+3.15m
495|Levski Sofia|/levski-sofia/startseite/verein/156/saison_id/2018|23,5|21|18.48m|430k|2018|Bulgaria|29.200 Seats|Georgi Asparuhov Stadium|43|500k|Free transfer|0|1.05m|-1.05m
496|PFC Beroe Stara Zagora|/pfc-beroe-stara-zagora/startseite/verein/6764/saison_id/2018|24,2|12|8.53m|244k|2018|Bulgaria|12.128 Seats|Stadion Beroe|38|Free transfer|300k|910k|0|+910k
497|Slavia Sofia|/slavia-sofia/startseite/verein/675/saison_id/2018|24,0|13|6.77m|141k|2018|Bulgaria|25.556 Seats|Slavia Stadium|49|Free transfer|Free transfer|0|0|0
498|Cherno More|/cherno-more-varna/startseite/verein/967/saison_id/2018|24,4|9|6.73m|177k|2018|Bulgaria|12.500 Seats|Stadion Ticha|41|Free transfer|Free transfer|0|0|0
499|Lok. Plovdiv|/lokomotive-plovdiv/startseite/verein/2259/saison_id/2018|23,0|20|5.78m|152k|2018|Bulgaria|13.000 Seats|Lokomotiv|45|Free transfer|Free transfer|0|0|0
500|FC Copenhagen|/fc-kopenhagen/startseite/verein/190/saison_id/2009|25,0|12|37.25m|1.28m|2009|Denmark|38.065 Seats|Telia Parken|29|400k|540k|540k|400k|+140k
501|Bröndby IF|/brondby-if/startseite/verein/206/saison_id/2009|23,9|11|35.45m|1.14m|2009|Denmark|28.000 Seats|Br?ndby Stadion|31|300k|1.30m|1.65m|300k|+1.35m
502|FC Midtjylland|/fc-midtjylland/startseite/verein/865/saison_id/2009|23,4|16|25.95m|741k|2009|Denmark|11.535 Seats|MCH Arena|35|540k|540k|1.41m|540k|+870k
503|Odense BK|/odense-boldklub/startseite/verein/173/saison_id/2009|25,2|10|23.70m|817k|2009|Denmark|15.790 Seats|Nature Energy Park|29|800k|400k|400k|1.34m|-940k
504|Aalborg BK|/aalborg-bk/startseite/verein/1053/saison_id/2009|23,6|10|20.20m|673k|2009|Denmark|13.800 Seats|Aalborg Portland Park|30|540k|1.25m|2.79m|1.75m|+1.04m
505|Nordsjaelland|/fc-nordsjaelland/startseite/verein/2778/saison_id/2009|23,1|10|16.43m|483k|2009|Denmark|10.300 Seats|Right to Dream Park|34|400k|400k|825k|950k|-125k
506|SönderjyskE|/sonderjyske/startseite/verein/5817/saison_id/2009|23,5|4|9.85m|318k|2009|Denmark|10.000 Seats|Sydbank Park|0|Free transfer|540k|0|0|0
507|FC Copenhagen|/fc-kopenhagen/startseite/verein/190/saison_id/2010|24,9|14|43.10m|1.49m|2010|Denmark|38.065 Seats|Telia Parken|32|1.35m|700k|1.37m|4.02m|-2.65m
508|Odense BK|/odense-boldklub/startseite/verein/173/saison_id/2010|25,2|13|31.10m|889k|2010|Denmark|15.790 Seats|Nature Energy Park|35|200k|Free transfer|0|200k|-200k
509|Bröndby IF|/brondby-if/startseite/verein/206/saison_id/2010|24,2|11|29.50m|952k|2010|Denmark|28.000 Seats|Br?ndby Stadion|31|Free transfer|1.00m|1.95m|0|+1.95m
510|FC Midtjylland|/fc-midtjylland/startseite/verein/865/saison_id/2010|22,2|9|22.60m|685k|2010|Denmark|11.535 Seats|MCH Arena|33|1.00m|4.20m|5.60m|1.50m|+4.10m
511|Aalborg BK|/aalborg-bk/startseite/verein/1053/saison_id/2010|23,2|10|16.65m|490k|2010|Denmark|13.800 Seats|Aalborg Portland Park|34|Free transfer|1.00m|1.20m|0|+1.20m
512|Nordsjaelland|/fc-nordsjaelland/startseite/verein/2778/saison_id/2010|21,8|9|14.53m|393k|2010|Denmark|10.300 Seats|Right to Dream Park|37|Free transfer|1.75m|1.75m|0|+1.75m
513|SönderjyskE|/sonderjyske/startseite/verein/5817/saison_id/2010|24,1|10|11.00m|407k|2010|Denmark|10.000 Seats|Sydbank Park|0|Free transfer|1.35m|0|0|0
514|FC Copenhagen|/fc-kopenhagen/startseite/verein/190/saison_id/2011|24,8|14|42.08m|1.45m|2011|Denmark|38.065 Seats|Telia Parken|30|2.40m|3.50m|4.30m|5.20m|-900k
515|Bröndby IF|/brondby-if/startseite/verein/206/saison_id/2011|23,0|10|29.10m|808k|2011|Denmark|28.000 Seats|Br?ndby Stadion|36|470k|350k|350k|470k|-120k
516|Odense BK|/odense-boldklub/startseite/verein/173/saison_id/2011|24,9|11|23.23m|829k|2011|Denmark|15.790 Seats|Nature Energy Park|29|560k|540k|540k|960k|-420k
517|FC Midtjylland|/fc-midtjylland/startseite/verein/865/saison_id/2011|22,4|11|19.13m|580k|2011|Denmark|11.535 Seats|MCH Arena|35|Free transfer|300k|300k|0|+300k
518|Nordsjaelland|/fc-nordsjaelland/startseite/verein/2778/saison_id/2011|22,1|7|13.80m|406k|2011|Denmark|10.300 Seats|Right to Dream Park|34|135k|Free transfer|0|135k|-135k
519|Aalborg BK|/aalborg-bk/startseite/verein/1053/saison_id/2011|23,8|6|10.45m|387k|2011|Denmark|13.800 Seats|Aalborg Portland Park|29|Free transfer|63k|63k|0|+63k
520|SönderjyskE|/sonderjyske/startseite/verein/5817/saison_id/2011|24,8|7|8.65m|376k|2011|Denmark|10.000 Seats|Sydbank Park|25|Free transfer|200k|200k|0|+200k
521|FC Copenhagen|/fc-kopenhagen/startseite/verein/190/saison_id/2012|24,5|13|34.30m|1.14m|2012|Denmark|38.065 Seats|Telia Parken|32|1.00m|5.00m|9.90m|2.80m|+7.10m
522|Bröndby IF|/brondby-if/startseite/verein/206/saison_id/2012|22,7|8|21.45m|715k|2012|Denmark|28.000 Seats|Br?ndby Stadion|32|670k|1.00m|1.10m|670k|+430k
523|Odense BK|/odense-boldklub/startseite/verein/173/saison_id/2012|24,8|12|18.95m|677k|2012|Denmark|15.790 Seats|Nature Energy Park|30|540k|1.75m|3.65m|540k|+3.11m
