,teams,links,age,a_players,value,difference,year
156,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2013,"24,4",11,€10.43m,€298k,2013
157,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2013,"24,7",7,€8.33m,€245k,2013
158,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2013,"24,6",4,€7.45m,€219k,2013
159,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2013,"22,8",9,€7.13m,€162k,2013
160,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2014,"25,3",8,€34.10m,€1.03m,2014
161,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2014,"27,0",6,€25.78m,€955k,2014
162,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2014,"24,7",6,€13.13m,€423k,2014
163,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2014,"24,2",13,€12.28m,€323k,2014
164,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2014,"23,8",18,€12.20m,€330k,2014
165,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2014,"23,8",11,€11.05m,€345k,2014
166,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2014,"24,4",9,€9.73m,€304k,2014
167,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2014,"25,5",7,€8.55m,€204k,2014
168,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2014,"22,6",10,€7.33m,€209k,2014
169,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2014,"23,3",6,€5.70m,€158k,2014
170,Sparta Praha,/ac-sparta-prag/startseite/verein/197/saison_id/2015,"25,4",7,€32.73m,€935k,2015
171,Viktoria Plzen,/fc-viktoria-pilsen/startseite/verein/941/saison_id/2015,"26,8",5,€24.75m,€798k,2015
172,Slavia Prague,/sk-slavia-prag/startseite/verein/62/saison_id/2015,"23,8",6,€13.80m,€383k,2015
173,Mladá Boleslav,/fk-mlada-boleslav/startseite/verein/5546/saison_id/2015,"24,5",7,€13.60m,€358k,2015
174,Slovan Liberec,/fc-slovan-liberec/startseite/verein/697/saison_id/2015,"23,2",13,€12.85m,€338k,2015
175,FK Jablonec,/fk-jablonec/startseite/verein/1322/saison_id/2015,"24,3",6,€12.70m,€454k,2015
176,FK Teplice,/fk-teplice/startseite/verein/814/saison_id/2015,"24,9",13,€9.38m,€260k,2015
177,1.FK Pribram,/1-fk-pribram/startseite/verein/2598/saison_id/2015,"23,2",4,€7.20m,€189k,2015
178,Banik Ostrava,/fc-banik-ostrava/startseite/verein/377/saison_id/2015,"21,6",11,€6.70m,€152k,2015
179,Slovácko,/1-fc-slovacko/startseite/verein/5544/saison_id/2015,"23,7",7,€5.40m,€169k,2015
180,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2010,"23,7",15,€30.13m,€861k,2010
181,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2010,"25,1",18,€30.00m,€789k,2010
182,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2010,"24,4",11,€26.53m,€780k,2010
183,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2010,"25,5",8,€14.53m,€427k,2010
184,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2010,"25,6",6,€12.58m,€419k,2010
185,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2010,"26,3",5,€11.65m,€364k,2010
186,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2010,"23,3",13,€9.28m,€273k,2010
187,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2010,"24,4",10,€8.75m,€313k,2010
188,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2010,"24,1",4,€7.05m,€227k,2010
189,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2011,"24,2",15,€31.45m,€850k,2011
190,Lech Poznan,/lech-pozna%C5%84/startseite/verein/238/saison_id/2011,"24,0",11,€26.03m,€929k,2011
191,Wisla Kraków,/wisla-krakau/startseite/verein/422/saison_id/2011,"25,2",16,€22.35m,€798k,2011
192,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2011,"25,7",8,€14.13m,€456k,2011
193,Jagiellonia,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2011,"23,6",14,€12.93m,€359k,2011
194,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2011,"24,0",12,€11.20m,€329k,2011
195,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2011,"24,3",6,€10.40m,€297k,2011
196,Ruch Chorzow,/ruch-chorzow/startseite/verein/318/saison_id/2011,"26,0",6,€9.05m,€312k,2011
197,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2011,"24,8",7,€9.00m,€257k,2011
