StadiumCapacity|StadiumName|SquadSize|TopArrival|TopDeparture|IncomeValue|ExpenditureValues|OverallBalance
32.115 Seats|Stadio Georgios Karaiskakis|40|€3.00m|€3.00m|€3.00m|€12.16m|€-9.16m
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|36|€500k|€5.80m|€7.95m|€1.08m|+€6.87m
28.703 Seats|Toumba Stadium|45|€400k|€4.00m|€4.49m|€400k|+€4.09m
11.700 Seats|Stadio Neas Smyrnis|49|Free transfer|€350k|€705k|0|+€705k
9.050 Seats|Stadio Peristeriou|28|Free transfer|€500k|€500k|0|+€500k
7.423 Seats|Gipedo Theodoros Kolokotronis|37|Free transfer|€250k|€250k|0|+€250k
32.115 Seats|Stadio Georgios Karaiskakis|33|€2.70m|€7.65m|€8.10m|€5.00m|+€3.11m
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|39|€150k|Free transfer|0|€290k|€-290k
28.703 Seats|Toumba Stadium|36|€220k|€1.50m|€1.95m|€220k|+€1.73m
9.050 Seats|Stadio Peristeriou|31|Free transfer|€220k|€220k|0|+€220k
7.423 Seats|Gipedo Theodoros Kolokotronis|37|€24k|Free transfer|0|€24k|€-24k
11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|€350k|€690k|0|+€690k
32.115 Seats|Stadio Georgios Karaiskakis|38|€2.50m|€15.20m|€33.62m|€9.04m|+€24.58m
28.703 Seats|Toumba Stadium|52|€1.00m|€100k|€100k|€2.80m|€-2.70m
7.423 Seats|Gipedo Theodoros Kolokotronis|44|Free transfer|€800k|€800k|0|+€800k
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|33|€200k|€3.00m|€4.99m|€260k|+€4.73m
9.050 Seats|Stadio Peristeriou|31|Free transfer|€350k|€950k|0|+€950k
11.700 Seats|Stadio Neas Smyrnis|32|Free transfer|€750k|€750k|0|+€750k
32.115 Seats|Stadio Georgios Karaiskakis|41|€6.00m|€15.00m|€28.50m|€25.88m|+€2.62m
28.703 Seats|Toumba Stadium|33|€450k|€300k|€300k|€770k|€-470k
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|33|€50k|€2.25m|€2.25m|€50k|+€2.20m
7.423 Seats|Gipedo Theodoros Kolokotronis|41|Free transfer|€1.20m|€1.20m|0|+€1.20m
9.050 Seats|Stadio Peristeriou|32|Free transfer|€600k|€650k|0|+€650k
11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|€500k|€500k|0|+€500k
32.115 Seats|Stadio Georgios Karaiskakis|40|€5.42m|€2.50m|€4.88m|€20.52m|€-15.64m
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|42|€600k|€2.50m|€2.50m|€2.85m|€-350k
28.703 Seats|Toumba Stadium|50|€1.30m|€1.50m|€3.00m|€7.19m|€-4.19m
7.423 Seats|Gipedo Theodoros Kolokotronis|37|€140k|€2.50m|€4.00m|€140k|+€3.86m
9.050 Seats|Stadio Peristeriou|31|€200k|€480k|€880k|€330k|+€550k
11.700 Seats|Stadio Neas Smyrnis|31|Free transfer|€550k|€1.40m|0|+€1.40m
32.115 Seats|Stadio Georgios Karaiskakis|54|€3.00m|€15.10m|€53.25m|€13.35m|+€39.90m
28.703 Seats|Toumba Stadium|51|€2.90m|€5.30m|€9.50m|€6.55m|+€2.95m
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|44|€625k|€250k|€580k|€2.58m|€-2.00m
7.423 Seats|Gipedo Theodoros Kolokotronis|39|€180k|€500k|€500k|€330k|+€170k
9.050 Seats|Stadio Peristeriou|34|Free transfer|€600k|€600k|0|+€600k
11.700 Seats|Stadio Neas Smyrnis|37|Free transfer|€400k|€850k|0|+€850k
32.115 Seats|Stadio Georgios Karaiskakis|43|€7.10m|€17.50m|€23.05m|€21.40m|+€1.65m
28.703 Seats|Toumba Stadium|40|€1.50m|€2.50m|€2.50m|€7.30m|€-4.80m
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|41|€1.30m|€3.30m|€4.65m|€1.72m|+€2.93m
7.423 Seats|Gipedo Theodoros Kolokotronis|38|Free transfer|€980k|€980k|0|+€980k
11.700 Seats|Stadio Neas Smyrnis|33|Free transfer|€600k|€800k|0|+€800k
9.050 Seats|Stadio Peristeriou|31|Free transfer|€900k|€1.70m|0|+€1.70m
32.115 Seats|Stadio Georgios Karaiskakis|57|€7.00m|€3.00m|€10.80m|€16.23m|€-5.43m
28.703 Seats|Toumba Stadium|54|€4.00m|€10.00m|€11.20m|€10.30m|+€900k
9.050 Seats|Stadio Peristeriou|36|Free transfer|€200k|€200k|0|+€200k
69.618 Seats|Olympiako Stadio Athinas Spyros Louis|42|Free transfer|€2.40m|€2.40m|0|+€2.40m
11.700 Seats|Stadio Neas Smyrnis|35|Free transfer|€400k|€400k|0|+€400k
7.423 Seats|Gipedo Theodoros Kolokotronis|41|Free transfer|€850k|€1.63m|0|+€1.63m
33.500 Seats|Teddy-Kollek-Stadion|25|Free transfer|€150k|€163k|0|+€163k
29.150 Seats|Bloomfield|25|Free transfer|€300k|€300k|0|+€300k
30.820 Seats|Sammy Ofer Stadium|27|€500k|€40k|€74k|€2.02m|€-1.95m
8.500 Seats|Doha Stadium|36|€120k|€500k|€500k|€175k|+€325k
16.126 Seats|Toto Jacob Turner Stadium|30|€250k|Free transfer|0|€250k|€-250k
30.820 Seats|Sammy Ofer Stadium|28|€14k|Free transfer|0|€14k|€-14k
29.150 Seats|Bloomfield|34|€2.00m|€1.00m|€1.00m|€5.06m|€-4.06m
30.820 Seats|Sammy Ofer Stadium|27|€1.00m|€1.80m|€4.15m|€2.23m|+€1.93m
33.500 Seats|Teddy-Kollek-Stadion|31|Free transfer|€1.45m|€2.90m|0|+€2.90m
8.500 Seats|Doha Stadium|30|Free transfer|Free transfer|0|0|0
16.126 Seats|Toto Jacob Turner Stadium|35|€115k|€675k|€675k|€115k|+€560k
30.820 Seats|Sammy Ofer Stadium|23|Free transfer|Free transfer|0|0|0
30.820 Seats|Sammy Ofer Stadium|35|€1.00m|€2.50m|€3.05m|€4.65m|€-1.60m
29.150 Seats|Bloomfield|33|€250k|€500k|€600k|€810k|€-210k
30.820 Seats|Sammy Ofer Stadium|32|€37k|€35k|€35k|€37k|€-2k
33.500 Seats|Teddy-Kollek-Stadion|31|Free transfer|€800k|€1.00m|0|+€1.00m
